Epoch,train_loss,val_loss
0.714285714285714,2.02033424377441,
1,,20.1039180755615
1.42857142857143,3.63572597503662,
2,,15.0796413421631
2.14285714285714,4.07834625244141,
2.85714285714286,1.40559673309326,
3,,8.97683906555176
3.57142857142857,2.38787746429443,
4,,1.38806879520416
4.28571428571429,1.25096988677979,
5,0.553291201591492,
5,,1.33659708499908
5.71428571428571,0.421218037605286,
6,,0.625107884407044
6.42857142857143,0.393059015274048,
7,,0.897207260131836
7.14285714285714,0.776415348052979,
7.85714285714286,1.7653796672821,
8,,0.557157397270203
8.57142857142857,0.790537893772125,
9,,0.936286628246307
9.28571428571429,0.383638799190521,
10,1.44758915901184,
10,,0.751747190952301
10.7142857142857,0.380573481321335,
11,,0.903412520885468
11.4285714285714,0.242186486721039,
12,,0.854994237422943
12.1428571428571,0.489496290683746,
12.8571428571429,0.29610475897789,
13,,0.630486786365509
13.5714285714286,0.571086049079895,
14,,0.496625870466232
14.2857142857143,0.335823059082031,
15,0.35735622048378,
15,,0.535644829273224
15.7142857142857,0.176671639084816,
16,,0.694831848144531
16.4285714285714,0.981934189796448,
17,,0.81121701002121
17.1428571428571,1.42885375022888,
17.8571428571429,0.409848153591156,
18,,0.778575122356415
18.5714285714286,0.161859542131424,
19,,0.510660946369171
19.2857142857143,0.518535733222961,
20,0.84251481294632,
20,,0.545521676540375
20.7142857142857,0.29453456401825,
21,,0.657562434673309
21.4285714285714,0.400141000747681,
22,,0.437612622976303
22.1428571428571,0.127838313579559,
22.8571428571429,0.341962546110153,
23,,0.538687467575073
23.5714285714286,0.277882784605026,
24,,0.499381095170975
24.2857142857143,0.396936058998108,
25,0.119300045073032,
25,,0.566212296485901
25.7142857142857,0.133516147732735,
26,,0.587797820568085
26.4285714285714,0.450629889965057,
27,,0.48820561170578
27.1428571428571,0.178578972816467,
27.8571428571429,0.31668096780777,
28,,0.423983037471771
28.5714285714286,0.214231044054031,
29,,0.588169872760773
29.2857142857143,0.470928639173508,
30,0.074426531791687,
30,,0.726872086524963
