,Train_loss,Val_loss
0,1.003051,0.987296
1,2.451672,2.917048
2,1.3500447,1.2768542
3,1.1896573,0.99417996
4,1.277058,1.0550153
5,1.0971956,1.0656489
6,1.0203416,1.0325326
7,0.9447522,0.9572338
8,1.1649303,1.1067362
9,0.9756833,1.1741958
10,0.894511,1.128881
11,1.3528659,1.0077387
12,0.8679999,1.0625091
13,0.8341133,0.92733544
14,1.02179,0.8113532
15,1.0004187,0.9392532
16,1.3539287,0.9605557
17,1.0131236,0.8763867
18,0.9836793,0.91227293
19,0.8399956,1.206783
20,0.69677615,1.0292606
21,0.98798215,1.0565712
22,0.9253082,1.0257529
23,0.9885956,0.96846414
24,1.231524,0.80236375
25,0.9801768,1.0444629
26,0.6295012,0.9658736
27,0.99808675,0.96071637
28,0.9414639,0.92329973
29,1.1486993,0.8639415
30,1.099711,0.8917907
31,1.1412463,0.9686464
32,1.1402503,0.88956237
33,1.0838491,0.97919375
34,0.87679696,0.9181379
35,0.9469464,0.92551315
36,0.91881806,0.9432702
37,1.1152122,0.9951426
38,1.0119982,1.0272851
39,1.086904,0.86723566
40,0.9047769,1.1010697
41,0.9508519,0.8124378
42,0.96457666,0.9472908
43,1.0472703,1.0362142
44,1.1474807,1.0208206
45,0.9052784,1.0500238
46,0.8940769,1.0356525
47,0.89065814,0.8908363
48,0.8420776,1.0180184
49,0.76813716,0.9417722
50,0.89877313,1.0217121
51,0.9399138,0.7757442
52,1.0730406,1.0103047
53,1.0454277,0.91506433
54,0.9330087,0.88278747
55,1.0337994,0.96277726
56,1.0907978,0.89597875
57,0.85567266,0.824757
58,1.0788176,0.9683448
59,0.9627887,1.0875922
60,0.877028,1.1447581
61,1.0618827,0.8258804
62,1.0927879,0.96349835
63,0.78838104,1.0749868
64,1.2443128,0.8655711
65,0.6895716,0.82946
66,0.89242953,0.9747434
67,1.1877707,1.0874403
68,1.0486465,1.061576
69,0.82839465,1.1319494
70,1.2693369,0.9332559
71,0.8983761,1.0255278
72,1.1009833,0.9479393
73,0.9586024,1.1196561
74,0.8630605,0.89276063
75,1.1820623,0.8561746
76,1.0358465,0.9909885
77,0.9854223,0.9696988
78,0.8441896,0.81218994
79,0.77625513,0.98933697
80,0.88419104,1.1128596
81,0.87818813,0.92748165
82,1.0448034,0.95198363
83,0.7283261,1.0663583
84,1.0125418,1.125795
85,0.99766695,0.7171017
86,0.82216644,0.96985775
87,0.7586971,1.047519
88,1.0550385,0.8484284
89,0.8274689,0.9041363
90,0.996683,0.7696141
91,0.9628495,1.0313498
92,0.96031964,0.9769492
93,1.2438257,0.9593136
94,0.93243265,0.89882815
95,1.1755428,1.1070216
96,1.1404948,0.9933234
97,1.040604,0.9926817
98,1.0771823,0.93937325
99,0.97345936,0.8330594
100,0.97884214,0.9250276
101,0.7512166,0.9820537
102,0.6633277,0.76834846
