,0,1
0,-2.4820507,-1.3151536
1,-2.4427474,-1.2462864
2,-2.3922577,-1.170929
3,-2.3454416,-1.100652
4,-2.296556,-1.0311453
5,-2.2434993,-0.9612243
6,-2.184515,-0.88712585
7,-2.1297812,-0.81776553
8,-2.07398,-0.75397426
9,-2.0162008,-0.68544763
10,-1.9612281,-0.6179357
11,-1.9069419,-0.54504293
12,-1.8602397,-0.48048294
13,-1.8167608,-0.41860834
14,-1.7726907,-0.35996562
15,-1.7261739,-0.30072692
16,-1.6784488,-0.24115421
17,-1.6304282,-0.18637931
18,-1.5829352,-0.13423526
19,-1.5372669,-0.084996015
20,-1.4910624,-0.0347899
21,-1.4431034,0.018085077
22,-1.3966659,0.070234925
23,-1.3455665,0.11876573
24,-1.2953258,0.16141576
25,-1.2477379,0.19817264
26,-1.2041248,0.23532154
27,-1.1601249,0.270863
28,-1.118593,0.30619162
29,-1.076258,0.34220603
30,-1.0320214,0.37402028
31,-0.9921552,0.40140796
32,-0.9492821,0.4370963
33,-0.90584123,0.47202906
34,-0.86450136,0.50603586
35,-0.81951636,0.5373348
36,-0.7675962,0.56833965
37,-0.71213263,0.60065335
38,-0.6539773,0.6333415
39,-0.5975167,0.6636831
40,-0.5424607,0.6905322
41,-0.48754945,0.716079
42,-0.42931545,0.742274
43,-0.37223235,0.7665968
44,-0.31324401,0.78116286
45,-0.25593725,0.7874498
46,-0.20712881,0.782487
47,-0.16285406,0.77817035
48,-0.11448968,0.7722319
49,-0.061623633,0.7657022
50,-0.0020825716,0.75439125
51,0.055242747,0.7395331
52,0.11119258,0.7238645
53,0.16844992,0.70994854
54,0.2258222,0.6963475
55,0.2766585,0.68215597
56,0.32987073,0.66832906
57,0.38591537,0.65238935
58,0.44317946,0.631194
59,0.49835134,0.60617185
60,0.55447805,0.5745341
61,0.60814434,0.5404089
62,0.6635705,0.50390255
63,0.71566385,0.46672624
64,0.7720279,0.42994964
65,0.8255994,0.39428136
66,0.8831822,0.35839006
67,0.9387788,0.32466084
68,0.9976149,0.28940347
69,1.0525911,0.25270057
70,1.110055,0.21538334
71,1.1610378,0.17832926
72,1.2140425,0.13703802
73,1.2708906,0.095699355
74,1.3344402,0.050250348
75,1.3880862,0.007333281
76,1.4396535,-0.036115468
77,1.491858,-0.080673255
78,1.5457081,-0.13202839
79,1.6010896,-0.18408738
80,1.6480383,-0.23162083
81,1.6954074,-0.28065777
82,1.7478147,-0.32668325
83,1.7968451,-0.37249094
84,1.8475395,-0.41940063
85,1.8976254,-0.46236557
86,1.9297839,-0.50929534
87,1.9630722,-0.5522498
88,1.9922273,-0.59544486
89,2.0184438,-0.6370723
90,2.0434487,-0.6716086
91,2.0717375,-0.70806986
92,2.0943122,-0.74142444
93,2.1128747,-0.7713035
94,2.137561,-0.7981737
95,2.1584532,-0.8226774
96,2.182655,-0.842255
97,2.2079394,-0.8622844
98,2.2332373,-0.877778
99,2.2599597,-0.8914232
