,Train_loss,Val_loss
0,1.0957958,1.059483
1,1.0687943,0.95448714
2,1.0494581,1.2034022
3,0.84403723,0.965733
4,1.0691066,1.1914567
5,1.4456539,1.214285
6,0.91953105,1.1833925
7,1.0339836,1.0752233
8,1.0039841,1.1921203
9,0.9227894,0.8843054
10,1.106519,1.0945467
11,0.92743033,1.1948825
12,1.0646449,1.3944119
13,1.0890592,1.0382463
14,0.78571844,1.0908655
15,1.276029,1.1646581
16,1.234415,1.2540487
17,1.0160604,0.9884038
18,0.9780361,1.1321301
19,0.8482647,0.79730225
20,1.0142413,1.0201552
21,0.99053735,0.9873073
22,0.6059801,0.94460654
23,1.0450848,0.81232476
24,0.78073424,1.0664746
25,0.77706146,1.0015908
26,1.0095263,0.7693561
27,1.1592652,1.0771064
28,0.99607706,1.1029825
29,1.0692554,1.1311717
30,0.7215851,1.150727
31,0.6783383,1.1991172
32,1.112288,1.0241262
33,0.9489438,0.90837973
34,1.0100077,0.97643733
35,0.66588855,0.92299145
36,1.2363325,1.2362351
37,1.0558858,1.1893485
38,1.4227862,1.0369891
39,1.1109608,0.97999054
40,0.9699459,1.0176183
41,0.7165699,1.0716419
42,0.8798005,1.010775
43,1.0572581,1.1579646
44,0.79746777,1.0570683
45,0.90458035,0.9835338
46,1.1786981,1.0037202
47,0.9022109,0.84132653
48,0.78715634,0.9075944
49,0.85125446,1.1060411
50,0.9950536,0.9747191
51,1.0584948,0.8614731
52,0.93657637,0.87203234
53,1.1539174,1.1495429
54,0.84156364,1.1422747
55,0.851217,1.0297674
56,1.002688,1.1011516
57,0.95563555,1.0059483
58,0.8512177,1.1532272
59,0.9479909,0.99586314
60,1.183997,1.1914811
61,1.2922424,0.9979976
62,0.8458109,0.88159364
63,0.9559991,1.1824993
64,1.0411339,1.0510887
65,1.1508592,1.0307397
66,1.373048,0.90286463
67,0.9714122,0.8582027
68,0.9769521,1.0952727
69,1.378493,1.1231599
70,0.8487293,1.0891414
71,0.8672002,0.83001
72,0.9039791,1.1607827
73,0.84513646,1.0409626
74,0.5615635,1.0409418
75,1.2682015,0.822103
76,0.7697019,0.81935185
77,0.9059186,0.962632
78,0.94603914,0.9541945
79,0.9752396,0.89041466
80,1.0528866,1.1383574
81,1.0091348,0.9662903
82,1.210033,1.1255841
83,1.0857147,1.0546781
84,1.0628573,1.079178
85,0.83684474,1.1256675
86,0.93289304,0.9667353
87,1.0442773,1.1571416
88,1.1647305,1.1927646
89,1.05805,1.1304086
90,0.8866003,1.1770595
91,0.6771086,0.828505
92,1.1690234,1.0406619
93,0.83029443,1.212763
94,1.0754713,1.1905152
95,0.9708646,1.0030872
96,0.736751,0.9641759
97,0.88332254,1.1967931
98,1.2344481,1.0864669
99,0.9574716,0.9483176
100,0.9347508,1.077398
101,0.7268185,1.0541806
102,0.9830172,1.0311166
103,1.0756038,0.9126761
104,1.5973483,1.3532338
105,0.8970001,0.9091645
106,1.0655055,1.022221
107,1.1453611,1.1175989
108,0.97320586,1.0031188
109,0.86745054,0.89729613
110,1.0257109,1.0412279
111,1.0668745,1.0932418
112,0.90456367,1.0596709
113,1.1531324,0.9779416
114,0.7885743,0.8871371
115,0.8875585,1.0262548
116,0.9559979,1.0154208
117,1.0087482,0.9668229
118,1.1078627,0.9474535
119,0.8064762,1.2056165
120,1.1491766,1.0402843
121,0.8784156,1.093772
122,1.0953965,1.0687252
123,1.2490481,1.1235219
124,0.9628742,1.0000099
125,1.1864944,1.0779581
126,0.65774375,1.2920823
127,0.9959119,1.0891286
128,1.1694219,0.9734371
129,1.0003432,0.98497754
130,1.1061889,0.9364915
131,1.1529661,0.91849804
132,0.9865796,0.9959197
133,1.0670017,0.90650225
134,0.9660395,0.9548993
135,1.1280104,1.1105549
136,1.0581692,0.9999226
137,0.9754958,1.1645671
138,0.98333794,1.0468662
139,0.9640724,0.91867703
140,0.96452445,0.9565508
141,1.0876178,1.0165306
142,1.0613118,1.0549846
143,1.006831,0.976983
144,1.0430088,1.0603008
145,0.8697769,1.1456325
146,1.1789719,1.1110924
147,1.1258827,1.0318114
148,1.1769987,0.9810812
149,1.3212532,1.1032616
150,0.79785615,1.2646469
151,1.4407917,1.0335861
152,0.9805188,1.1499251
153,0.9525332,1.329244
154,0.8684072,1.1292802
155,0.81426746,1.069435
156,0.7809742,0.9516962
157,1.0841084,1.0716718
158,0.82724357,1.1482831
159,0.87094766,1.0964631
160,1.0799185,1.0274252
161,0.9300769,0.887347
162,0.78860444,0.8372567
163,1.037004,0.86154014
164,0.95720226,1.1932143
165,1.0842191,0.88676786
166,1.0033857,0.9371274
167,1.4599549,0.84962726
168,0.8843312,1.0717798
169,1.0924342,1.1681243
170,0.9520752,0.9976048
171,0.79807425,0.9930579
172,1.0221322,0.91905075
173,0.70194,1.0901097
174,0.8410731,1.1109443
175,0.7866704,1.0693458
176,0.94862527,0.87738657
177,0.9928525,1.2134386
178,1.0500906,1.0163456
179,0.92014885,1.2719072
180,0.7566107,0.9863855
181,0.73654526,1.0080489
182,1.0046281,0.9456141
183,0.7623725,1.0783503
184,1.0833302,1.0558811
185,0.7854929,0.92242056
186,0.89743304,1.0211076
187,1.2344264,1.0733372
188,0.96853685,1.0492619
189,1.2095017,0.79997253
190,0.86272365,1.1215411
191,0.89691573,0.9686236
192,0.8549406,0.8584983
193,0.89544076,1.099894
194,0.8663502,1.243926
195,1.2142102,0.9117381
196,0.82329446,1.0335621
197,1.185638,1.0364276
198,0.9253451,1.0726396
199,0.9109347,1.0518594
200,0.6930992,0.9382971
201,0.96359825,1.0597391
202,1.0697322,1.2057904
203,0.8360753,0.86284274
204,1.1581248,0.8282097
205,0.7972698,1.0806445
206,1.3014377,0.84992695
207,0.8920376,0.92246103
208,0.8536677,1.030142
209,1.0659813,1.1552763
210,0.90684366,1.2325473
211,0.83971786,1.0045446
212,1.0118259,1.1054295
213,0.89219695,1.0001287
214,0.951786,1.1317283
215,0.95577127,0.87333465
216,0.95998734,0.9413673
217,0.9897549,0.8273385
218,1.0231777,1.2782022
219,0.5758845,1.1384987
220,1.5058403,0.897284
221,0.9181221,1.0788565
222,0.8150924,0.7368923
223,0.8311431,0.9633293
224,0.6302106,1.0855767
225,0.9074051,1.057423
226,0.8043354,1.3057107
227,0.97130364,1.1191477
228,0.97447944,1.259403
229,0.8368786,0.96780103
230,0.6687494,1.1222085
231,0.8600144,1.1014795
232,1.0992266,0.94154596
233,1.0298166,1.2227129
234,0.90484065,0.9093623
235,1.0988249,1.1116046
236,1.1989816,0.9252588
237,1.0937306,0.9750778
238,1.0691371,0.9998619
239,0.80922943,0.7469643
240,1.1165073,1.071394
241,0.8916132,0.988626
242,1.2644584,0.9807026
243,0.7721254,1.1077102
244,1.0305172,0.89886147
245,0.8748997,0.95855886
246,0.73703045,1.1081442
247,1.1038512,1.0753518
248,0.94064426,0.8394483
249,0.9322705,0.80307394
250,0.93469065,0.9893815
251,1.4842052,1.007056
252,0.9408851,0.9628814
253,0.9547313,0.9522159
254,1.0733263,1.0746659
255,0.9379216,0.97199434
256,1.0836989,1.083439
257,1.0464355,1.0239755
258,0.97403336,1.2500943
259,0.76467156,1.0227531
260,0.8503909,0.98840123
261,1.001636,1.2781267
262,1.0679153,1.059899
263,1.1652617,0.83528405
264,0.91254425,1.209384
265,1.1227571,0.9536677
266,0.8396333,0.81478614
267,0.98545665,0.8885894
268,0.7759312,1.1834117
269,1.0598034,1.0944219
270,1.0263033,1.023815
271,1.172323,1.0909216
272,1.3007492,0.90319854
273,0.9088184,1.2311202
274,0.7681689,1.2214793
275,0.9960642,0.95326185
276,0.85664386,0.9790582
277,1.034284,1.0728627
278,0.8417349,1.0034598
279,0.9122823,1.1038712
280,0.868916,0.83881265
281,1.1886286,1.0507474
282,1.2326797,1.0354056
283,0.9585747,1.0330061
284,0.81890374,1.2238588
285,1.0066134,1.0296316
286,0.89314836,1.0605804
287,0.87387085,1.0719919
288,0.82066107,0.6966348
289,0.7795175,1.1756946
290,0.84291553,0.7319514
291,0.778588,1.0084772
292,0.8351657,1.1157073
293,0.8804977,1.0578283
294,1.0091555,1.0397726
295,1.4005104,1.0080591
296,0.7460515,1.057127
297,1.395924,0.9766156
298,0.97984076,0.9913278
299,0.68943197,0.8153563
300,1.025825,0.99893063
301,0.87619734,0.9325215
302,0.7284205,0.95975685
303,0.8077472,1.2057707
304,0.886385,0.97282076
305,0.839793,1.1362549
306,0.9565942,1.1210374
307,1.3313216,0.94670993
308,0.8191302,0.8626644
309,0.8388004,0.83458394
310,0.9229603,1.0516156
311,0.7072342,1.0508143
312,0.85497814,1.1093947
313,0.9818798,0.9119726
314,1.0841371,0.9594179
315,1.1471691,1.0956973
316,1.0132388,1.0799508
317,0.8938791,1.1206871
318,0.97262794,1.0550786
319,0.8093271,1.1640157
320,1.1856817,0.88347167
321,1.4051872,0.969158
322,0.98846537,1.0297631
323,1.2668647,1.0530775
324,0.8330791,0.84766024
325,1.1375312,1.098258
326,0.9394412,0.9824509
327,1.5854301,1.16882
328,1.0247198,1.0151794
329,0.7253949,1.1523263
330,0.68517476,0.94860774
331,0.926457,1.0335135
332,0.86422825,0.8127112
333,0.8179204,1.2062628
334,0.84313184,0.8591631
335,0.76746655,1.0741817
336,0.963592,1.1991409
337,0.91819936,1.0430065
338,1.4941448,0.9658804
339,0.61284465,1.0299697
340,1.1703275,1.0694971
341,0.84089917,0.92397326
342,0.76067615,0.94954187
343,0.7768774,0.94186085
344,1.0757705,1.1676723
345,0.84869003,1.1493554
346,0.89937025,0.7366891
347,0.7907014,1.1100134
348,1.2383387,1.1872916
349,0.9838276,0.8338046
350,0.92306036,0.9792575
351,1.0055231,1.1227999
352,1.0634257,0.9808586
353,0.86960316,1.2282931
354,0.9084676,0.8532606
355,1.1857984,0.8863637
356,1.1725777,1.1834906
357,0.7872912,0.8395052
358,0.82754785,1.1485547
359,0.6374278,1.2332417
360,0.8117025,1.1170586
361,0.9726245,0.93956804
362,0.86106056,0.75676566
363,0.9420354,1.028026
364,1.1711096,0.9007996
365,0.7723882,0.9398735
366,0.889196,0.9925044
367,0.8542047,1.0243567
368,1.045949,1.1013798
369,1.1634785,1.0194999
370,1.2217526,1.0387388
371,1.0007392,1.2784292
372,0.88843083,1.075941
373,1.0190473,1.065266
374,0.8967011,1.2771114
375,0.67414457,1.0947925
376,1.0154897,0.81599814
377,1.0192698,0.96995157
378,0.79797524,0.90188694
379,1.0763944,1.0329353
380,0.9479448,0.82443684
381,0.7699933,1.1375648
382,1.6416903,0.8933995
383,0.8956477,0.8315108
384,0.95802087,0.85063124
385,1.0670072,0.9048746
386,1.1108941,1.1038275
387,0.8361044,0.7553521
388,1.1296977,0.8801597
389,0.6439274,1.0225772
390,0.82366925,0.77047426
391,0.571489,1.1136594
392,1.0073532,1.0359741
393,0.93987423,1.2437676
394,0.72103447,1.2610527
395,0.9258518,0.85128355
396,0.71234685,0.90935904
397,1.0856239,0.8255953
398,1.1043204,1.2150167
399,0.72891814,0.93751407
400,1.4728023,0.72078586
401,0.939573,0.8779984
402,1.0722908,1.0863217
403,0.8951785,1.0653195
404,0.8484745,0.89434934
405,0.80471927,0.9886567
406,0.9232915,1.0380373
407,1.2881169,0.98497695
408,0.94761664,1.0603913
409,0.88609886,0.8692276
410,0.6484317,1.1330398
411,1.1783594,1.1234463
412,0.9803156,0.9919804
413,0.7641936,0.8546719
414,1.3764977,0.77281076
415,1.0509611,0.8885019
416,0.5940203,1.0389031
417,1.080955,1.078566
418,1.1553878,1.1896877
419,0.8990598,1.0380524
420,0.6599259,0.819489
421,0.8155737,0.9633059
422,0.8540006,0.9842989
423,0.75740165,0.9725211
424,0.8244956,1.0068526
425,0.78146046,1.1251367
426,0.76715845,1.0783836
427,0.9634819,1.0203751
428,1.1294717,0.9332804
429,1.0795331,1.0130018
