,Train_loss,Val_loss
0,1.1527829,0.93468475
1,2.1836958,2.1517682
2,1.7220234,1.5471833
3,0.7453389,0.91233873
4,0.7998991,0.8616123
5,1.3430713,1.0433636
6,0.79572934,0.9240985
7,1.0273489,0.9435133
8,0.6602344,0.96303767
9,0.78567255,0.98964924
10,0.7403142,1.156049
11,1.0787786,1.0966362
12,1.0375624,1.0556128
13,1.000474,0.92850256
14,0.81785005,1.2236366
15,1.2635717,1.099653
16,0.83097184,0.96981
17,0.9859897,1.084985
18,0.5069597,0.84474057
19,1.3720526,1.150144
20,0.6728306,1.0150995
21,1.6276824,1.1675236
22,1.1672351,1.3006365
23,1.2346873,0.75241816
24,1.0392373,0.8979108
25,0.790799,0.96290255
26,1.3359736,0.8012351
27,0.80235887,0.8867307
28,1.3712165,1.1716249
29,0.80699944,1.1618936
30,0.77081096,0.91938657
31,1.0601021,0.93038607
32,0.9462864,0.95484436
33,1.0623772,1.0520635
34,1.3495353,0.9406061
35,0.84829015,1.003087
36,0.71033955,0.87151134
37,0.62245226,0.9084352
38,1.3560088,0.9644124
39,0.9140372,0.85029685
40,0.9507899,0.95004547
41,1.2018437,0.8188039
42,0.8208281,0.9274933
43,0.7625079,1.179749
44,0.7156724,0.98692244
45,1.2045693,0.7685275
46,1.6692786,1.1643221
47,0.722041,1.0583233
48,0.654668,1.0644413
49,1.1150234,1.0968437
50,0.85084736,0.75758564
51,0.9387708,0.93178403
52,0.7694821,0.63793266
53,1.2714976,0.90411395
54,0.63244957,0.8372461
55,0.9422463,1.0313796
56,0.7880472,0.99226534
57,1.1528765,1.0681522
58,0.6257928,0.9694098
59,0.706155,0.96632206
60,0.9549551,0.9246215
61,0.92166567,0.9558577
62,0.4215924,1.160068
63,1.1005526,0.7394995
64,0.7823765,0.9357133
65,0.6696185,0.8861219
66,1.168966,0.9015386
67,0.7026739,0.91364133
68,1.02143,0.8573236
69,1.1484356,0.9512958
70,0.9309392,0.8699105
71,0.8020662,0.7563207
72,0.6133118,1.057663
73,0.7325713,0.82768774
74,1.1428121,0.82321155
75,0.8413636,0.74495286
76,0.7939805,1.085779
77,0.584299,0.94656277
78,1.0594022,0.82441497
79,0.9792527,0.90012884
80,1.1842828,0.8701252
81,0.6291232,0.88175964
82,1.0165496,0.95995015
83,0.6816906,0.78794736
84,0.7118968,0.8603519
85,0.5902984,0.96259344
86,1.0106182,0.770658
87,1.1911839,0.8688539
88,1.4312099,0.71245307
89,0.8649153,0.9193639
90,0.8013568,0.7947655
91,1.2336459,0.8322336
92,0.9645197,0.6954622
93,1.0195101,0.94365823
94,1.0343102,0.9137615
95,0.8768365,0.89631975
96,1.1876991,0.8512505
97,0.8094535,0.8526616
98,0.8372011,0.74288195
99,0.8525275,0.9997734
100,0.9699332,0.9162179
101,1.0780295,0.6507217
102,0.8352162,0.8331467
103,0.6580789,0.97128105
104,0.670876,0.8446692
105,1.1159257,0.7956712
106,0.92640436,0.8331009
107,1.0357598,0.7886107
108,0.91199064,0.8379177
109,0.55985606,0.8411056
110,0.76903737,0.71306986
111,0.76726836,0.7626319
112,0.69462633,0.8584103
113,0.76508516,0.8783219
114,1.012922,0.76790285
115,0.946249,0.86676514
116,0.7046665,0.8480445
117,0.72401613,0.705393
118,1.0944214,0.8329038
119,1.317786,0.765478
120,0.5870887,1.0359616
121,0.596312,0.7823042
122,0.6812796,0.8923359
123,0.89159465,0.760056
124,0.91008204,0.91757864
125,0.7052617,0.83554995
126,0.69993544,0.8868606
127,0.89231956,0.96389693
128,0.54715306,0.6719986
129,0.58639526,0.81025064
130,0.625868,0.92982143
131,0.8542167,0.9753477
132,0.63002735,0.724647
133,0.62681985,0.9087936
134,0.6980511,0.7126671
135,1.2267735,0.9395696
136,0.8513217,0.9168808
137,1.2762976,0.82991445
138,0.5712657,0.8773509
139,0.5655199,0.7616315
140,0.77941346,0.84683865
141,0.6486711,0.77801573
142,0.59483993,0.87093437
143,0.6506245,0.7421546
144,0.860667,1.0727441
145,0.7017374,0.6908524
146,0.8623656,0.7349434
147,0.80973643,0.76518005
148,0.85800695,0.6027218
149,1.1679447,0.7550262
150,0.9802158,0.9416032
