epoch,step,train_loss,val/mse,val_loss
0,7,,0.8188543319702148,0.8188543319702148
1,15,,0.8002527952194214,0.8002527952194214
2,23,,0.7840858697891235,0.7840858697891235
3,31,,0.7468256950378418,0.7468256950378418
4,39,,0.6491762399673462,0.6491762399673462
5,47,,0.6530948877334595,0.6530948877334595
6,49,0.22658643126487732,,
6,55,,0.561642050743103,0.561642050743103
7,63,,0.5146844983100891,0.5146844983100891
8,71,,0.41624879837036133,0.41624879837036133
9,79,,0.32450222969055176,0.32450222969055176
10,87,,0.1898038685321808,0.1898038685321808
11,95,,0.256293922662735,0.256293922662735
12,99,0.24197201430797577,,
12,103,,0.1239454597234726,0.1239454597234726
13,111,,0.34419506788253784,0.34419506788253784
14,119,,0.09479956328868866,0.09479956328868866
15,127,,0.09046585112810135,0.09046585112810135
16,135,,0.0544910803437233,0.0544910803437233
17,143,,0.23568212985992432,0.23568212985992432
18,149,0.129692941904068,,
18,151,,0.22113704681396484,0.22113704681396484
19,159,,0.0922786146402359,0.0922786146402359
20,167,,0.06798705458641052,0.06798705458641052
21,175,,0.0864608958363533,0.0864608958363533
22,183,,0.19577935338020325,0.19577935338020325
23,191,,0.04189888387918472,0.04189888387918472
24,199,0.25825804471969604,,
24,199,,0.04097898304462433,0.04097898304462433
25,207,,0.19670119881629944,0.19670119881629944
26,215,,0.052332647144794464,0.052332647144794464
27,223,,0.024327261373400688,0.024327261373400688
28,231,,0.06011279299855232,0.06011279299855232
29,239,,0.0856209248304367,0.0856209248304367
30,247,,0.09056335687637329,0.09056335687637329
31,249,0.19201068580150604,,
31,255,,0.09432564675807953,0.09432564675807953
32,263,,0.120184026658535,0.120184026658535
33,271,,0.06135093420743942,0.06135093420743942
34,279,,0.09128564596176147,0.09128564596176147
35,287,,0.11251835525035858,0.11251835525035858
36,295,,0.09084682166576385,0.09084682166576385
37,299,0.1701807826757431,,
37,303,,0.06280633062124252,0.06280633062124252
38,311,,0.08135218918323517,0.08135218918323517
39,319,,0.08515658974647522,0.08515658974647522
40,327,,0.013932934030890465,0.013932934030890465
41,335,,0.043517932295799255,0.043517932295799255
42,343,,0.043865449726581573,0.043865449726581573
43,349,0.034829385578632355,,
43,351,,0.0963517501950264,0.0963517501950264
44,359,,0.05761493369936943,0.05761493369936943
45,367,,0.03410903364419937,0.03410903364419937
46,375,,0.06268896162509918,0.06268896162509918
47,383,,0.046654943376779556,0.046654943376779556
48,391,,0.028923574835062027,0.028923574835062027
49,399,0.019484732300043106,,
49,399,,0.02447175607085228,0.02447175607085228
50,407,,0.055098168551921844,0.055098168551921844
51,415,,0.03759646788239479,0.03759646788239479
52,423,,0.014727823436260223,0.014727823436260223
53,431,,0.03131914883852005,0.03131914883852005
54,439,,0.027541646733880043,0.027541646733880043
55,447,,0.010191859677433968,0.010191859677433968
56,449,0.16361811757087708,,
56,455,,0.017564188688993454,0.017564188688993454
57,463,,0.032590512186288834,0.032590512186288834
58,471,,0.07242344319820404,0.07242344319820404
59,479,,0.10162118822336197,0.10162118822336197
60,487,,0.0598924346268177,0.0598924346268177
61,495,,0.0390867218375206,0.0390867218375206
62,499,0.056383393704891205,,
62,503,,0.01927156373858452,0.01927156373858452
63,511,,0.013142384588718414,0.013142384588718414
64,519,,0.008498555049300194,0.008498555049300194
65,527,,0.006882359739392996,0.006882359739392996
66,535,,0.007959979586303234,0.007959979586303234
67,543,,0.004472103901207447,0.004472103901207447
68,549,0.09809838980436325,,
68,551,,0.006928856484591961,0.006928856484591961
69,559,,0.015553598292171955,0.015553598292171955
