,Train_loss,Val_loss,On_diag,Off_diag
0,93.57331452546296,149.61249796549478,33.07576949508102,60.49755407262732
1,89.18043800636575,145.46223958333334,29.67889630353009,59.501541702835645
2,85.8324562355324,141.13247680664062,31.05782741970486,54.774631076388886
3,84.65025499131944,143.98867797851562,32.404635959201386,52.24561903211806
4,83.5745261863426,139.1265869140625,29.14199490017361,54.432522243923614
5,82.69344075520833,142.45061238606772,28.964131673177082,53.729311342592595
6,81.46975368923611,143.49137369791666,27.414274992766202,54.05549225983796
7,82.44860387731481,131.88292439778647,27.93157732928241,54.5170581958912
8,80.54873770254629,135.29366048177084,27.185246220341437,53.36347565827546
9,79.52201786747685,132.93977864583334,27.726350007233798,51.79569046585648
10,79.36081271701389,132.5679931640625,28.64651150173611,50.714296694155095
11,77.97379557291667,131.9173380533854,29.191150806568288,48.782674153645836
12,76.53409830729167,126.24649047851562,28.651518645109952,47.88258644386574
13,74.512451171875,124.16258748372395,28.42667191116898,46.085756655092595
14,73.55444788049769,120.83839925130208,29.59169967086227,43.962745949074076
15,72.84894929108796,116.75587972005208,30.33312762225116,42.51579680266204
16,70.8215919777199,115.4114481608073,28.34767433449074,42.473904079861114
17,70.54070366753473,115.20255533854167,28.633158365885418,41.90755660445602
18,69.22573965567129,112.84056599934895,29.13274242259838,40.09298140914352
19,67.75736038773148,109.25042724609375,27.951253255208332,39.8061206958912
20,68.34547706886575,108.24896240234375,28.559147587528937,39.78636338975694
21,67.40078848379629,109.91520182291667,27.67965133101852,39.721146195023145
22,66.62236870659723,109.1707763671875,26.253743489583332,40.36865234375
23,65.04426631221065,111.30240885416667,24.82539424189815,40.218849464699076
24,65.81215187355325,107.81373087565105,25.109535499855323,40.70261863425926
25,64.5450439453125,108.2183329264323,23.374229148582177,41.17083062065972
26,64.41428403501158,109.50638834635417,23.586649576822918,40.82763219762732
27,64.14316587094908,108.46470133463542,23.94399459273727,40.199155454282405
28,63.89758752893518,108.68677775065105,23.774872956452548,40.122721354166664
29,64.01015444155092,106.90535481770833,23.53200050636574,40.478194625289355
30,63.18894675925926,108.15008544921875,22.688978407118057,40.499941225405095
31,62.0193187572338,106.13818359375,21.456258138020832,40.56302445023148
32,62.86877893518518,105.98562622070312,22.1791833948206,40.689566153067126
33,62.420875831886576,106.98455810546875,22.453904893663193,39.9669505931713
34,62.054574471932874,106.6320292154948,22.19155544704861,39.86300094039352
35,61.841837565104164,105.13193766276042,21.30319779007523,40.53862847222222
36,62.919614438657405,105.8309326171875,22.79425726996528,40.12535264756944
37,60.75997359664352,104.9312235514323,20.65093315972222,40.10900426793982
38,61.04502586082176,104.9830322265625,21.19024658203125,39.85477249710648
39,61.444656937210645,104.75545247395833,21.54869701244213,39.8959644458912
40,61.03053114149306,104.54061889648438,20.85808648003472,40.17243561921296
41,61.41139051649306,103.49593098958333,21.921357331452548,39.490035445601855
42,60.6533203125,102.44283040364583,20.91675030743634,39.73656774450232
43,60.3101490162037,103.97782389322917,20.99613670066551,39.31401457609954
44,60.744131582754626,103.32330322265625,21.31062373408565,39.433498806423614
45,60.05669035734954,102.24059041341145,20.72766339337384,39.32903374565972
46,60.37603081597222,101.3958740234375,21.067875614872687,39.308132595486114
47,60.570760091145836,100.82630411783855,20.98338939525463,39.587357132523145
48,60.08304398148148,103.04888916015625,21.27284523292824,38.810203269675924
49,59.248458297164355,101.16506958007812,20.290373625578702,38.958107277199076
50,59.64384856047454,101.3194071451823,20.59866672092014,39.04517957899306
51,60.003603334780095,101.56543986002605,21.323517975983798,38.680076316550924
52,59.6140453197338,99.88863118489583,20.76648853443287,38.84755226417824
53,59.74506293402778,100.91299438476562,21.109648527922452,38.6354076244213
54,59.32519079137732,100.49680582682292,20.7409509729456,38.5841968677662
55,59.42381456163194,99.78560384114583,21.20114700882523,38.22266981336806
56,58.723673502604164,100.54988606770833,20.28361228660301,38.4400634765625
57,59.20495153356482,101.3998514811198,20.68535472728588,38.51958550347222
58,59.662954824942126,101.15232340494792,21.208656593605323,38.45427336516204
59,59.224324544270836,101.6155293782552,20.710969147858798,38.513350875289355
60,58.24291540075232,100.64739990234375,19.96914333767361,38.27375397858796
61,58.57013617621528,101.58472696940105,19.828007450810187,38.7420970775463
62,58.751211660879626,102.99135335286458,19.88204616970486,38.869163230613424
63,58.81309678819444,100.25693766276042,20.25287543402778,38.5602123119213
64,58.61090766059028,100.04844156901042,20.076822916666668,38.5340892650463
65,58.11837203414352,100.25436401367188,19.45398627387153,38.664369936342595
66,58.51025390625,99.6180419921875,20.19726336443866,38.31299280237268
67,58.28686071325232,100.13687133789062,19.896088776765048,38.39076515480324
68,58.41789641203704,100.11585489908855,20.17062943070023,38.247255678530095
69,58.66289152922454,98.0794677734375,20.45634177879051,38.20656105324074
70,57.880050094039355,100.85817464192708,20.004729094328702,37.87530969690393
71,58.505850332754626,100.38158162434895,20.44501636646412,38.060818142361114
72,58.01350007233796,100.32600911458333,19.50465675636574,38.508852358217595
73,57.967086226851855,99.00248209635417,19.68278446903935,38.284310800057874
74,57.42652723524306,99.42605590820312,19.13844581886574,38.28809950086806
75,58.42475043402778,99.25839233398438,20.11292408130787,38.311812789351855
76,57.817215530960645,100.19003295898438,20.001137062355323,37.81610107421875
77,58.348275643807874,100.59568277994792,19.83716046368634,38.511135525173614
78,57.83924696180556,100.08207194010417,19.348637333622687,38.49061867042824
79,57.507071035879626,99.8156026204427,19.12745044849537,38.37960250289352
80,57.61336715133102,98.29263305664062,18.9273681640625,38.685994466145836
