,Train_loss,Val_loss,On_diag,Off_diag
117,45.77881311487268,73.6658426920573,21.232252332899307,24.54657208478009
118,45.58318413628472,73.40871683756511,21.153620967158563,24.42954734519676
119,45.402388961226855,73.11478169759114,21.170188621238427,24.23217999493634
120,45.830543800636576,72.42888895670573,21.639042607060187,24.19151023582176
121,45.79431604456018,73.83531188964844,21.568103931568288,24.22622115523727
122,45.51142035590278,72.524658203125,21.14359763816551,24.367811414930557
123,45.421834309895836,72.1726582845052,21.152226200810187,24.269596806278937
124,45.613308376736114,71.79875183105469,21.407918294270832,24.20542625144676
125,45.19587311921296,73.13142903645833,20.918651439525462,24.277244285300927
126,45.40996636284722,73.55825805664062,21.12109601056134,24.28887035228588
127,45.094577365451386,72.9475809733073,21.04481788917824,24.049748173466437
128,45.452333803530095,73.41920471191406,21.21712917751736,24.235224971064813
129,45.200028030960645,71.94092305501302,20.87054443359375,24.329488118489582
130,45.087158203125,71.13552347819011,20.83974880642361,24.247404875578702
131,45.194394712094905,70.37572733561198,21.21035201461227,23.984031394675927
132,44.77942346643518,71.88112386067708,20.57897271050347,24.20044623480903
133,44.82307038483796,72.49189758300781,20.99904830367477,23.82401982060185
134,45.240089699074076,69.8409423828125,21.19481743706597,24.04527000144676
135,44.82567003038194,71.62770080566406,21.011253074363427,23.81441017433449
136,44.757649739583336,71.29778544108073,20.791553638599538,23.966093840422452
137,45.190352828414355,71.92686971028645,21.110668041087962,24.079671223958332
138,45.83520055700232,71.56908162434895,21.53432888454861,24.300855848524307
139,45.13261809172454,71.07510884602864,20.950041594328702,24.18255841290509
140,44.326614945023145,71.59644063313802,20.42115162037037,23.90547236689815
141,44.81495496961806,72.99498494466145,20.99201343677662,23.82294379340278
142,44.38797562210648,72.1884053548177,20.471571180555557,23.91640896267361
143,44.79645905671296,72.65226236979167,20.99469220196759,23.80176685474537
144,44.51719382957176,71.86550394694011,20.699860749421298,23.817326298466437
145,44.76142487702546,72.74354044596355,20.81973605685764,23.941691080729168
146,44.1829517505787,71.36452738444011,20.367958351417823,23.81498435691551
147,44.208658854166664,71.3543192545573,20.31557662398727,23.893095793547452
148,43.92944788049768,71.78885396321614,20.02459490740741,23.90483714916088
149,44.205589011863424,71.91458638509114,20.41327582465278,23.79231318721065
150,44.898984555844905,71.47578938802083,20.73065863715278,24.1683349609375
151,44.89969437210648,70.51179504394531,20.994004991319443,23.905678077980323
152,44.392862955729164,71.15614827473958,20.75555193865741,23.6373132776331
