smiles,T1,T2,T3,T4,T5,Viscosity_1,Viscosity_2,Viscosity_3,Viscosity_4,Viscosity_5,Ln(A),Ea/R
CCCCCCCCCO,328.1499999999999,318.15000000000003,308.1499999999999,298.15,288.1521000000001,3.476,5.707,6.741,9.715,13.146,-8.040544799738692,3066.408557254491
CCCCCCCCS,373.1499999999999,342.85858225265923,308.06887067986366,288.063239632136,273.15000000000003,0.5033,0.6949000000000001,1.077,1.4861,1.9724,-4.445716566266346,1395.041790618257
CCCCCO,402.95,383.1151734480961,356.25,334.90178304983584,314.45000000000005,0.408,0.555,0.877,1.3825,2.21,-6.812258485125506,2381.075219637028
CCCC=C,273.15000000000003,268.15,263.15,258.15,253.14999999999998,0.24,0.25,0.27,0.28,0.3,-4.003138310118144,705.1482405082293
CCCO,368.74,318.15000000000003,303.97999999999996,296.01,253.14999999999998,0.477,1.223,1.722,2.101,7.16,-6.704230987685287,2199.972340555271
OCC(F)F,333.15,323.15,315.1499999999999,303.15,293.15,1.042,1.275,1.58,2.03,2.65,-6.791007754345436,2277.951052421464
CCC(C)(C)C,303.15,298.15,293.15,288.15,273.15000000000003,0.33,0.351,0.375,0.397,0.477,-4.357728598431386,988.3940862480877
CC(C)(C)C,282.28999999999996,275.9147824511172,269.5547773181725,263.2047719458217,256.6,0.3065,0.33364,0.36402,0.398325,0.43891,-4.765027807440422,1011.826832956007
CC1CC(C)[S](=O)(=O)C1,373.1499999999999,342.85858225265923,323.15,308.06887067986366,298.15,1.285,2.243,4.519,6.787,9.079,-7.882511901884397,3007.026958381608
CC(C)C(=O)C(C)C,373.1499999999999,342.85858225265923,323.15,308.06887067986366,293.15,0.279,0.3685,0.448,0.5295000000000001,0.632,-4.318104671341408,1135.856541181068
Nc1cc(F)ccc1F,333.15,323.15,315.1499999999999,303.15,293.15,1.135,1.325,1.564,1.875,2.32,-5.098433221072009,1742.512829659899
CCc1cccc(CC)c1N,371.99999999999994,317.99999999999994,311.0,303.00000000000006,292.99999999999994,0.93,2.2,2.68,3.245,4.37,-5.725069726436627,2091.259736680095
Cc1cccc(C)[n+]1[O-],398.15,373.1499999999999,348.15,323.15,298.15,0.869,1.182,1.732,2.904,6.165,-6.534711922999278,2485.845419939092
CC(C)Br,329.91,311.66272358310476,300.8333219212232,288.3027248434631,272.384,0.3371,0.39945,0.44605,0.5214000000000001,0.6021,-3.879724155285208,923.1915734307552
Cc1ccccc1Br,373.1499999999999,342.85858225265923,308.06887067986366,288.063239632136,273.15000000000003,0.5862,0.7899,1.20515,1.6585,2.208,-4.138854354335953,1338.059956574654
CCC(C)S,323.15,313.15,303.15,293.15,283.15,0.376,0.419,0.457,0.509,0.57,-3.799042476778048,916.0294905865308
CCC(C)O,368.6499999999999,322.94921826625387,305.0392036791221,298.152004999963,287.95290000000006,0.46,1.357,2.3765,3.0703,4.66,-9.4875543769764,3171.378955091003
CCCCCCCCCCC(CO)CCCC,373.1499999999999,353.15,313.15,303.15,293.15,2.1978,3.7065,7.0373,24.3902,40.5022,-9.908021052225209,3887.855460560433
CCCCCCC1CC2CCCCC2CC1CCCC,372.05000000000007,333.15,310.95000000000005,293.15,273.15000000000003,2.346,5.977,13.17,30.76,111.7,-11.77611951578188,4495.582554041413
CCCCCCc1cc2ccccc2cc1CCCC,372.05000000000007,333.15,310.95000000000005,293.15,273.15000000000003,2.271,5.506,11.49,24.89,81.31,-10.75405841750115,4130.927855062212
