SMILES,Temp,K,lnK,lnA,splits,temp_input,lnA_input,K_target,Train_order,,Temp_max,1073.1
c1(C)c(C)c(C)c(CC)cc1,260.15,0.131995589,-2.024986777,-3.1692923,test,4.12492792619643,-3.61355594660755,0.217893274267408,27,,,
c1(C)c(C)c(C)c(CC)cc1,335.6525,0.11799667,-2.137098875,-3.1692923,test,3.19705647954358,-3.61355594660755,-0.157488825966287,305,,,
c1(C)c(C)c(C)c(CC)cc1,411.155,0.103997751,-2.263386001,-3.1692923,test,2.60996461188603,-3.61355594660755,-0.580332813689694,63,,,
c1(C)c(C)c(C)c(CC)cc1,486.6575,0.089998833,-2.407958576,-3.1692923,test,2.20504153331655,-3.61355594660755,-1.06440150750446,237,,,
c1(C)c(C)c(C)c(CC)cc1,562.16,0.075999914,-2.577023065,-3.1692923,test,1.90888714956596,-3.61355594660755,-1.63047585708765,342,,,
C=C(C)C(C)(C)C,163.3,0.13886174,-1.974276517,-2.756307379,8,6.57134109001837,-2.2307689880598,0.387685154374733,644,,,
C=C(C)C(C)(C)C,210.235,0.127963433,-2.056010736,-2.756307379,8,5.10428805860109,-2.2307689880598,0.114016537548199,385,,,
C=C(C)C(C)(C)C,257.17,0.117065126,-2.145024867,-2.756307379,8,4.17272621223315,-2.2307689880598,-0.184027224377095,981,,,
C=C(C)C(C)(C)C,304.105,0.106166819,-2.242743658,-2.756307379,8,3.52871541079561,-2.2307689880598,-0.511216579069909,221,,,
C=C(C)C(C)(C)C,351.04,0.095268512,-2.351055932,-2.756307379,8,3.05691659070191,-2.2307689880598,-0.873875824776,479,,,
n1c(C)cc(C)cc1(C),228.96,0.161728182,-1.821838239,-2.705213532,test,4.68684486373166,-2.05969275330877,0.898090382467493,689,,,
n1c(C)cc(C)cc1(C),290.0075,0.148110927,-1.909793779,-2.705213532,test,3.70024913148798,-2.05969275330877,0.603591073995104,754,,,
n1c(C)cc(C)cc1(C),351.055,0.134493672,-2.006238132,-2.705213532,test,3.05678597370782,-2.05969275330877,0.280668887802318,749,,,
n1c(C)cc(C)cc1(C),412.1025,0.120876416,-2.112986608,-2.705213532,test,2.60396381968078,-2.05969275330877,-0.076754332639299,917,,,
n1c(C)cc(C)cc1(C),473.15,0.107259161,-2.232507308,-2.705213532,test,2.26799112332241,-2.05969275330877,-0.476942467441678,2,,,
COP(=O)(OC)OC,227,0.13318397,-2.016023873,-2.773081517,10,4.7273127753304,-2.28693340978037,0.247903538884104,1036,,,
COP(=O)(OC)OC,287.8375,0.12327415,-2.093344545,-2.773081517,10,3.72814522082772,-2.28693340978037,-0.0109873102269402,288,,,
COP(=O)(OC)OC,348.675,0.113364329,-2.177148494,-2.773081517,10,3.07765110776511,-2.28693340978037,-0.291585951628669,940,,,
COP(=O)(OC)OC,409.5125,0.103454509,-2.268623291,-2.773081517,10,2.62043283172064,-2.28693340978037,-0.597868699243569,1106,,,
COP(=O)(OC)OC,470.35,0.093544689,-2.369316005,-2.773081517,10,2.28149250558095,-2.28693340978037,-0.935015565048816,1112,,,
COB(OC)OC,239.15,0.142813157,-1.946218097,-2.891470398,11,4.48714196111227,-2.68333190367081,0.481632451916513,264,,,
COB(OC)OC,264.8,0.135162251,-2.001279361,-2.891470398,11,4.05249244712991,-2.68333190367081,0.297272215237667,206,,,
