SMILES,T1,T2,T3,T4,T5,K1,K2,K3,K4,K5,Intercept,Coefficients
CCCSSCCC,187.66,257.995,328.33,398.665,469.0,0.158692168,0.14425942599999997,0.12982668399999997,0.11539394199999999,0.10096119999999999,-2.679487516342661,197.8693796
CCCOC(=O)/C=CC(=O)OCCC,260.0,331.825,403.65,475.47499999999997,547.3,0.12490400000000002,0.11204014250000002,0.09917628500000002,0.08631242750000002,0.07344857000000002,-3.206053646236146,346.39530697
c1c(C(=O)OCCC)c(C(=O)OCCC)ccc1,242.15,329.275,416.4,503.525,590.65,0.136006942,0.12205648699999999,0.10810603199999999,0.09415557699999999,0.08020512199999999,-2.991549777840506,301.86914712
c1ccccc1/C=Cc2ccccc2,275.65,345.23749999999995,414.825,484.4125,554.0,0.14007513600000002,0.128206292,0.11633744800000001,0.104468604,0.09259976,-2.879681410730716,291.50303986
c1ccccc1C(C)c2ccccc2,255.2,327.84499999999997,400.49,473.135,545.78,0.14087672,0.1286069795,0.116337239,0.1040674985,0.09179775800000001,-2.853727463683368,269.85990554
c1ccccc1[Si](Cl)(Cl)c2ccccc2,251.15,332.675,414.2,495.725,577.25,0.11954392265264749,0.10973823335448687,0.09915586773644,0.08779682579850687,0.0756611075406875,-3.029547346732135,281.71178455
C=C(c1ccccc1)CC(C)(c2ccccc2)C,304.54,381.90500000000003,459.27,536.635,614.0,0.12428942999999999,0.11303282249999999,0.101776215,0.09051960749999999,0.07926299999999999,-3.076460926033171,350.34181916
CCCCCOCCCCC,203.72,277.78999999999996,351.86,425.92999999999995,500.0,0.1347085072,0.11950638040000001,0.10430425360000001,0.08910212680000001,0.07390000000000001,-3.133193360635648,289.62201918
C1OCCOC1,284.95,307.33,329.71000000000004,352.09000000000003,374.47,0.16515463500000002,0.15435180900000003,0.143548983,0.132746157,0.12194333100000002,-3.168731450130777,401.93611806
CCOCOCC,206.65,259.7875,312.925,366.0625,419.2,0.1473673385,0.132259815875,0.11715229324999998,0.10204477062499999,0.086937248,-3.072891994676955,279.50382456
O1COCCC1,228.15,289.1125,350.075,411.0375,472.0,0.1821968485,0.163310056375,0.14442326425000002,0.125536472125,0.10664968,-2.856412731410895,309.67186972
CCCCCCCCSCCCCCCCC,285.0,364.0,443.0,522.0,601.0,0.10480874999999999,0.09372899999999999,0.08264925,0.0715695,0.060489749999999995,-3.419613163461405,393.2330606
CCCCCCCCNCCCCCCCC,287.77,362.5775,437.385,512.1925,587.0,0.12216744410000002,0.10902601057500001,0.09588457705000002,0.082743143525,0.06960171000000001,-3.331200884887771,414.5877983
CCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC,280.65,379.98749999999995,479.325,578.6625,678.0,0.1419067675,0.12521310062500002,0.10851943374999999,0.09182576687499999,0.0751321,-3.161537351658893,425.60575317
CCCCCCCCOCCCCCCCC,265.55,340.4125,415.275,490.1375,565.0,0.10397281000000001,0.09305785750000001,0.08214290500000002,0.07122795250000001,0.06031300000000002,-3.407667005846608,361.16537791
CC(C)C(C)CCCCCCCC,202.55,276.775,351.0,425.225,499.45,0.1412532055,0.12964515775000002,0.11803711,0.10642906225,0.0948210145,-2.702657627185376,188.13700055
C1C=C(C)C2C(C3)C(C)=CC3C21,222.15,284.9,347.65,410.4,473.15,0.175555228112575,0.1618227616847,0.147085980565575,0.13134488475519998,0.114599474253575,-2.638843737655506,239.66701179
CC1=CSC=C1C,216.0,266.5375,317.075,367.61249999999995,418.15,0.15002216,0.13890441537499998,0.12778667075,0.116668926125,0.1055511815,-2.701874904289442,197.97672545
CC1=C(C)SC=C1,224.15,271.8025,319.455,367.10749999999996,414.76,0.1442703735,0.134172332225,0.12407429095,0.113976249675,0.1038782084,-2.72535783843268,198.38622105
n1c(C)cccc1(C),267.0,304.55,342.1,379.65,417.2,0.13731127999999998,0.12874387199999998,0.12017646399999998,0.11160905599999998,0.10304164799999999,-2.857123440529131,248.66486139
c1(C)cc(C)c(N)cc1,258.85,315.8,372.75,429.7,486.65,0.171524498,0.158168584,0.14481266999999998,0.131456756,0.118100842,-2.645197496798055,257.94022058
CC1(C)CO1,195.4,246.53,297.66,348.79,399.92,0.189446852,0.1699857514,0.1505246508,0.1310635502,0.11160244959999999,-2.815065867983203,263.60050919
CC(C)CCCCC(C)C,219.15,272.6175,326.085,379.5525,433.02,0.11633169449999999,0.10632418252499998,0.09631667054999998,0.08630915857499999,0.0763016466,-3.098719693671262,238.94619913
CC(C)CCCC(C)CC,220.0,273.3825,326.765,380.1475,433.53,0.11671799999999999,0.10673013425,0.0967422685,0.08675440275,0.076766537,-3.091693388538284,238.68420838
CC(C)CCC(C)CCC,188.65,249.4,310.15,370.9,431.65,0.12261902949999999,0.111309202,0.0999993745,0.088689547,0.0773797195,-3.008355389547945,208.52489861
CC(C)CC(C)CCCC,190.0,249.7625,309.525,369.2875,429.05,0.1219161,0.110751867375,0.09958763474999999,0.08842340212499998,0.07725916949999999,-3.0150753059861,209.14764742
CC(C)C(C)CCCCC,163.0,231.615,300.23,368.84499999999997,437.46,0.13964177,0.12878619084999998,0.1179306117,0.10707503255,0.0962194534,-2.628603103136814,138.5330358
