smiles,T1,T2,T3,T4,T5,Viscosity_1,Viscosity_2,Viscosity_3,Viscosity_4,Viscosity_5,Ln(A),Ea/R,,smiles,Temp,Eta,lnEta,lnA
Clc1ccc(Cl)cc1,445.45,423.15,403.15,374.45,333.85,0.3042,0.3479,0.3981,0.4953,0.722,-3.778181704,1152.342842,,CC(c1cccc(C)c1)c2cccc(C)c2,295.15,63.49,4.150882413,-5.816135931
Fc1ccc(F)cc1,333.15,323.15,315.15,303.15,293.15,0.4135,0.4565,0.5075,0.568,0.639,-3.992091701,1039.999149,,CC(c1cccc(C)c1)c2cccc(C)c2,285.15,95.69,4.5611138,-5.816135931
COc1ccc(OC)cc1,484.15,458.2486744,432.65,385.1058324,334.95,0.2613,0.3133,0.3811,0.58065,1.087,-4.448501292,1505.243686,,CC(c1cccc(C)c1)c2cccc(C)c2,278.15,119.15,4.780383204,-5.816135931
CCCCCCCCC1CCCC2C(C)CCC(C)C12,372.05,333.15,310.95,293.15,273.15,2.184,4.881,9.496,19.03,55.23,-9.638467507,3721.494071,,CC(N)CN,323.15,0.94,-0.061875404,-7.395159795
CC(C)CBr,361.08,341.4683486,317.4639768,292.9953345,273.49,0.323,0.3885,0.49,0.64,0.82,-4.001599204,1041.921641,,CC(N)CN,305.6295518,1.311,0.270790205,-7.395159795
CCCBr,341,321.4525745,304.0870943,290.2240793,273.64,0.3328,0.3938,0.4589,0.52995,0.6414,-3.756407341,906.8604135,,CC(N)CN,288.15,1.925,0.654925968,-7.395159795
CCCCO,387.26,320.6305083,308.150995,298.15199,263.15,0.4259,1.4595,1.949,2.5165,7.4,-6.843978411,2320.517312,,CC(N)CN,270.6269074,3.321,1.200265942,-7.395159795
CC(C)CCl,338.45,324.3555003,306.4896154,288.4306306,273.15,0.2877,0.3278,0.3935,0.4826,0.5816,-4.208918187,1003.539757,,CC(N)CN,253.15,6.965,1.940897607,-7.395159795
CC(F)(F)Cl,333,313,293,273,253,0.246,0.278,0.321,0.377,0.454,-3.33776256,644.7222352,,CC(Br)CBr,409.82,0.468,-0.759286983,-3.874211021
CCCCl,317.83,306.0095772,296.3634887,285.4865519,273.64,0.2784,0.3108,0.34195,0.3807,0.4327,-3.984030569,861.4427848,,CC(Br)CBr,380.4918714,0.5965,-0.516676037,-3.874211021
[O-][N+](=O)c1ccccc1F,333.15,323.15,313.15,303.15,298.15,1.346,1.585,1.835,2.19,2.427,-4.656538028,1651.529101,,CC(Br)CBr,342.846643,0.8575,-0.1537341,-3.874211021
[O-][N+](=O)c1ccc(F)cc1,338.15,333.6,323.15,313.2,303.25,1.248,1.332,1.56,1.84,2.245,-4.958013107,1748.088445,,CC(Br)CBr,304.6616624,1.3705,0.315175637,-3.874211021
CCCCCF,333.15,323.15,313.15,303.15,293.15,0.2525,0.2775,0.3035,0.335,0.372,-4.150996123,926.8696509,,CC(Br)CBr,273.51,2.285,0.826366024,-3.874211021
CCCCCCCO,313.15,305.630553,303.15,298.15099,293.15196,3.5786,4.48015,4.995,5.9395,7.056,-8.682921159,3116.180702,,CCCCCCCCC1CCCc2c(C)ccc(C)c12,388.15,2.022,0.704087121,-8.613167741
CCCCCC=C,368.15,335.6313794,315.6301996,295.6288601,273.15,0.2,0.245,0.285,0.345,0.44,-3.910056334,840.1136197,,CCCCCCCCC1CCCc2c(C)ccc(C)c12,372.05,2.688,0.988797423,-8.613167741
CCCCCCS,373.15,342.8585823,308.0688707,288.0632396,273.15,0.3583,0.4706,0.68105,0.88605,1.1155,-4.115541078,1150.900897,,CCCCCCCCC1CCCc2c(C)ccc(C)c12,333.15,6.701,1.902256769,-8.613167741
CCCCC#C,333.15,323.15,313.15,303.15,293.15,0.242,0.268,0.298,0.333,0.373,-4.539013771,1041.685795,,CCCCCCCCC1CCCc2c(C)ccc(C)c12,310.95,14.68,2.686486023,-8.613167741
CC(C)CI,389.22,365.4020827,332.9478666,301.1821637,273.6,0.349,0.4225,0.5645,0.79155,1.154,-3.821264908,1080.605005,,CCCCCCCCC1CCCc2c(C)ccc(C)c12,293.15,34.36,3.536893097,-8.613167741
CCCI,372.04,343.0120188,315.6073296,297.6627644,273.454,0.362,0.4565,0.5845,0.7015,0.934,-3.636417976,977.5345674,,CCCCCCc1cc2CCCCc2cc1CCCC,372.05,2.5,0.916290732,-10.55846929
CCCOC,308.3,300.7433107,290.7641041,280.9297211,273.45,0.2187,0.23425,0.25715,0.2834,0.3064,-4.161271749,814.626024,,CCCCCCc1cc2CCCCc2cc1CCCC,333.15,6.287,1.838484009,-10.55846929
CCCCCCCCCS,393.15,353.15,313.15,293.15,272.75,0.4872,0.7188,1.2013,1.6814,2.578,-4.488184962,1471.179927,,CCCCCCc1cc2CCCCc2cc1CCCC,310.95,13.3,2.587764035,-10.55846929
CCCCCCCCCO,328.15,318.15,308.15,298.15,288.1521,3.476,5.707,6.741,9.715,13.146,-8.0405448,3066.408557,,CCCCCCc1cc2CCCCc2cc1CCCC,293.15,29.21,3.374511116,-10.55846929
CCCCCCCCS,373.15,342.8585823,308.0688707,288.0632396,273.15,0.5033,0.6949,1.077,1.4861,1.9724,-4.445716566,1395.041791,,CCCCCCc1cc2CCCCc2cc1CCCC,273.15,92.05,4.522331908,-10.55846929
CCCCCO,402.95,383.1151734,356.25,334.901783,314.45,0.408,0.555,0.877,1.3825,2.21,-6.812258485,2381.07522,,CCCCCCC1CCCc2ccc(CCCC)cc12,372.05,2.158,0.769181867,-9.960702929
CCCC=C,273.15,268.15,263.15,258.15,253.15,0.24,0.25,0.27,0.28,0.3,-4.00313831,705.1482405,,CCCCCCC1CCCc2ccc(CCCC)cc12,333.15,5.017,1.612832146,-9.960702929
CCCO,368.74,318.15,303.98,296.01,253.15,0.477,1.223,1.722,2.101,7.16,-6.704230988,2199.972341,,CCCCCCC1CCCc2ccc(CCCC)cc12,310.95,10.08,2.310553263,-9.960702929
OCC(F)F,333.15,323.15,315.15,303.15,293.15,1.042,1.275,1.58,2.03,2.65,-6.791007754,2277.951052,,CCCCCCC1CCCc2ccc(CCCC)cc12,293.15,20.81,3.03543364,-9.960702929
CCC(C)(C)C,303.15,298.15,293.15,288.15,273.15,0.33,0.351,0.375,0.397,0.477,-4.357728598,988.3940862,,CCCCCCC1CCCc2ccc(CCCC)cc12,273.15,61.43,4.117898315,-9.960702929
CC(C)(C)C,282.29,275.9147825,269.5547773,263.2047719,256.6,0.3065,0.33364,0.36402,0.398325,0.43891,-4.765027807,1011.826833,,BrCCBr,399.86,0.532,-0.63111179,-3.904184406
CC1CC(C)[S](=O)(=O)C1,373.15,342.8585823,323.15,308.0688707,298.15,1.285,2.243,4.519,6.787,9.079,-7.882511902,3007.026958,,BrCCBr,368.96,0.694,-0.365283318,-3.904184406
CC(C)C(=O)C(C)C,373.15,342.8585823,323.15,308.0688707,293.15,0.279,0.3685,0.448,0.5295,0.632,-4.318104671,1135.856541,,BrCCBr,340.45,0.922,-0.081210055,-3.904184406
Nc1cc(F)ccc1F,333.15,323.15,315.15,303.15,293.15,1.135,1.325,1.564,1.875,2.32,-5.098433221,1742.51283,,BrCCBr,304.36,1.445,0.368109322,-3.904184406
CCc1cccc(CC)c1N,372,318,311,303,293,0.93,2.2,2.68,3.245,4.37,-5.725069726,2091.259737,,BrCCBr,282.64,2.053,0.719302138,-3.904184406
Cc1cccc(C)[n+]1[O-],398.15,373.15,348.15,323.15,298.15,0.869,1.182,1.732,2.904,6.165,-6.534711923,2485.84542,,BrC=CBr,378.87,0.454,-0.789658081,-3.343086353
CC(C)Br,329.91,311.6627236,300.8333219,288.3027248,272.384,0.3371,0.39945,0.44605,0.5214,0.6021,-3.879724155,923.1915734,,BrC=CBr,354.4249178,0.545,-0.606969484,-3.343086353
Cc1ccccc1Br,373.15,342.8585823,308.0688707,288.0632396,273.15,0.5862,0.7899,1.20515,1.6585,2.208,-4.138854354,1338.059957,,BrC=CBr,325.9508465,0.6905,-0.370339306,-3.343086353
CCC(C)S,323.15,313.15,303.15,293.15,283.15,0.376,0.419,0.457,0.509,0.57,-3.799042477,916.0294906,,BrC=CBr,298.0976012,0.9095,-0.094860281,-3.343086353
CCC(C)O,368.65,322.9492183,305.0392037,298.152005,287.9529,0.46,1.357,2.3765,3.0703,4.66,-9.487554377,3171.378955,,BrC=CBr,274.01,1.217,0.196388814,-3.343086353
CCCCCCCCCCC(CO)CCCC,373.15,353.15,313.15,303.15,293.15,2.1978,3.7065,7.0373,24.3902,40.5022,-9.908021052,3887.855461,,CC(C)(Br)CBr,415.59,0.4941,-0.705017353,-4.098175498
CCCCCCC1CC2CCCCC2CC1CCCC,372.05,333.15,310.95,293.15,273.15,2.346,5.977,13.17,30.76,111.7,-11.77611952,4495.582554,,CC(C)(Br)CBr,387.4576994,0.6368,-0.451299644,-4.098175498
CCCCCCc1cc2ccccc2cc1CCCC,372.05,333.15,310.95,293.15,273.15,2.271,5.506,11.49,24.89,81.31,-10.75405842,4130.927855,,CC(C)(Br)CBr,346.769937,0.9839,-0.016231013,-4.098175498
Oc1ccccc1Cl,447.15,409.3960496,360.3790164,323.2126709,283.1543,0.3843,0.55385,0.86575,1.842,6.39,-5.691406275,2068.560868,,CC(C)(Br)CBr,302.0076667,1.72205,0.543515442,-4.098175498
COc1ccccc1Cl,469.15,446.6494403,413.05,362.6271907,290.45,0.3061,0.35805,0.4672,0.776,2.461,-4.398039549,1503.051585,,CC(C)(Br)CBr,273.54,3.2903,1.190978746,-4.098175498
CC(C)Cl,306.17,301.37,289.62,284.17,273.424,0.2829,0.2962,0.3341,0.354,0.4,-4.233919151,907.7743106,,Clc1ccccc1Cl,451.75,0.3257,-1.121778567,-3.767455831
Cc1ccccc1Cl,432.15,395.6342032,353.15,310.8334896,273.1539,0.2861,0.36745,0.5222,0.82285,1.4029,-3.938063027,1161.264809,,Clc1ccccc1Cl,422.193138,0.39115,-0.938664161,-3.767455831
CCOc1ccccc1N,373.52,342.8585823,308.0688707,288.0632396,273.21,0.993,1.63145,3.6721,7.7654,16.5071,-7.561325857,2770.279408,,Clc1ccccc1Cl,393.15,0.4826,-0.728567126,-3.767455831
CCOCCO,313.15,308.15,303.15,298.15187,298.15173,1.333,1.471,1.644,1.838,1.846,-6.385949034,2086.7065,,Clc1ccccc1Cl,348.128066,0.71735,-0.332191412,-3.767455831
CCOc1ccccc1C,443.75,413.1870599,383.2898983,337.9543607,288.15,0.2672,0.33535,0.434,0.70955,1.569,-4.455907405,1389.335729,,Clc1ccccc1Cl,296.45,1.319,0.276873874,-3.767455831
CCCCC(CC)CO,373.15,342.8585823,308.0688707,288.0632396,273.19,0.8077,1.60105,4.37795,9.95035,20.7151,-9.032767386,3259.491931,,ClCCCl,354.22,0.4217,-0.863461118,-4.148466963
CCCCC(=C)CC,373.15,342.8585823,323.15,308.0688707,293.15,0.225,0.288,0.345,0.402,0.472,-4.244234136,1027.167148,,ClCCCl,335.296533,0.50755,-0.678160051,-4.148466963
CCc1ccccc1N,372,318,311,303,293,0.91,2.18,2.59,3.325,4.5,-5.935276525,2158.200393,,ClCCCl,313.4958177,0.64305,-0.441532797,-4.148466963
Nc1ccccc1F,333.15,323.15,313.15,303.2,293.42,1.198,1.405,1.7,2.09,2.565,-5.598175044,1919.058135,,ClCCCl,291.3916352,0.8545,-0.157238776,-4.148466963
OCCF,333.15,323.15,313.15,303.15,293.15,0.889,1.044,1.247,1.54,1.924,-5.967154488,1940.348418,,ClCCCl,273.46,1.1211,0.114310346,-4.148466963
Cc1ccccc1F,333.15,323.15,313.15,303.15,293.15,0.434,0.481,0.5375,0.6005,0.6795,-4.098867268,1088.499828,,FC(F)(Cl)C(F)(F)Cl,333,0.263,-1.335601247,-4.113115104
O=Cc1occc1,373.15,322.8405462,300.6292117,288.0632396,273.1545,0.576,1.02885,1.4255,1.7906,2.475,-4.473184709,1454.833749,,FC(F)(Cl)C(F)(F)Cl,304.1606557,0.3465,-1.05987246,-4.113115104
CCCCCC(C)S,373.15,342.8585823,308.0688707,288.0632396,272.89,0.3735,0.50105,0.73415,0.9712,1.2422,-4.22001475,1206.938145,,FC(F)(Cl)C(F)(F)Cl,278.9856631,0.45,-0.798507696,-4.113115104
CCCCCC(C)O,423.35,391.85,365.45,333.25,303.15,0.3047,0.46,0.702,1.376,3.321,-7.254317659,2538.935079,,FC(F)(Cl)C(F)(F)Cl,266.9850187,0.5225,-0.649130295,-4.113115104
CCCCCC(C)=O,353.15,328.0738153,310.6298809,300.6292117,293.15,0.285,0.371,0.524,0.666,0.835,-6.590598301,1857.126281,,FC(F)(Cl)C(F)(F)Cl,253,0.632,-0.458865885,-4.113115104
CCCCCCCCCCCCCCC(C)OC(C)=O,373.15,342.8585823,308.0688707,288.0632396,273.15,1.2398,2.07785,4.57715,8.8842,16.3961,-6.790932006,2583.544139,,C=CC=C,333.15,0.095,-2.353878387,-5.297044696
CCCCC(C)S,373.15,342.8585823,308.0688707,288.0632396,273.15,0.3129,0.4088,0.5831,0.74945,0.9309,-4.126732256,1105.828624,,C=CC=C,313.15,0.119,-2.128631786,-5.297044696
OCC(=O)c1ccccc1,486.15,451.0081403,423.15,373.9354289,321.15,0.3148,0.4054,0.502,0.8355,1.816,-4.440791466,1593.453534,,C=CC=C,293.15,0.149,-1.903808973,-5.297044696
CC(C)I,361.87,334.3218674,309.6759913,292.7768483,273.45,0.361,0.4575,0.578,0.693,0.875,-3.718889096,981.3251581,,C=CC=C,273.15,0.188,-1.671313316,-5.297044696
COc1ccccc1O,478.15,447.6360677,418.1925941,375.3246239,320.35,0.3325,0.41785,0.5488,0.9202,2.617,-5.028561735,1861.177474,,C=CC=C,253.15,0.244,-1.410587054,-5.297044696
Cc1ccccc1N,471.85,429.6971091,373.15,328.1253428,273.81,0.316,0.45335,0.8379,1.7486,10.1056,-5.352390885,1954.481158,,C1CC=CC=C1,354.65,0.3107,-1.168927463,-4.330159055
Cc1ccccc1C#N,413.15,373.15,333.15,313.15,293.15,0.421,0.594,0.928,1.233,1.755,-4.343849042,1428.867148,,C1CC=CC=C1,343.2712216,0.3456,-1.062473242,-4.330159055
CCC(C)C,299.53,294.18,288.15,279.55,273.158,0.2102,0.2212,0.234,0.2547,0.274,-4.229728762,800.111119,,C1CC=CC=C1,325.45,0.4128,-0.884792065,-4.330159055
CC1CCCCC1=O,339.05,312.25,303.15,290.4549,288.1551,0.8379,1.2167,1.406,1.8222,1.845,-4.722913793,1541.615565,,C1CC=CC=C1,308.4205754,0.49955,-0.694047586,-4.330159055
CCCCCCC(C)(C)S,323.15,313.15,303.15,293.15,283.15,0.767,0.914,1.07,1.308,1.616,-5.522305043,1698.426233,,C1CC=CC=C1,292,0.6114,-0.49200387,-4.330159055
