smiles,T1,T2,T3,T4,T5,Viscosity_1,Viscosity_2,Viscosity_3,Viscosity_4,Viscosity_5,Intercept (A),Coefficient (B),,smiles,Temp
C1CCC(CC1)CC(CCCCCCCCCCCCC)CC1CCCCC1,273.15,298.15,310.928,333.15,372.039,11.633875666439,7.12963207133811,4.63739633565002,3.10563889260366,1.93463020573283,-4.49289767544756,1897.52360361022,,CCCCCCCCCCC(CCCCCCCCCC)CCCCCCCCCC,
CCCCCCCCCCC(CCCCCCCCCC)CC(C)(C)C,273.15,298.15,310.928,333.15,372.039,5.3935518298298,3.51893431848271,2.62692235315685,1.98702047751674,1.39998249622767,-3.49741387635516,1408.18561336569,,CCCCCCCCCCC(CCCCCCCCCC)CCCCCCCCCC,
C1CCCC(C1)C(CCCCCCCCCCCC)CCCCCCCCCCCC,273.15,298.15,310.928,333.15,372.039,8.3166932181669,5.13245584221439,3.66108851292433,2.64877429760841,1.77746438322494,-3.81803010268889,1613.68526896316,,CCCCCCCCCCC(CCCCCCCCCC)CCCCCCCCCC,
C1CCCC(C1)[C@H](CC)CCCCCCCCCCCCCCCCC,273.15,298.15,310.928,333.15,372.039,5.91578303906741,4.13146756865778,3.06257446071441,2.30347926464904,1.61840747966474,-3.22311131348881,1365.9508422777,,CCCCCCCCCCC(CCCCCCCCCC)CCCCCCCCCC,
C1CCCCC1[C@@H](CCCCCCCC)CCCCCCCCCCC,273.15,298.15,310.928,333.15,372.039,6.7262085896325,4.23978773857561,3.07969371670922,2.26647530030531,1.55411939859276,-3.72958223435243,1531.48778995476,,c1cccc(c1)C(CCCCCCCCCC)CCCCCCCCCC,
c1cccc(c1)[C@H](CCCCCCCCCCCCC)CCCCCC,273.15,298.15,310.928,333.15,372.039,5.83612924496006,4.02002470685268,2.94652493228642,2.19156805098015,1.51937838096486,-3.4281358866209,1418.25045836126,,c1cccc(c1)C(CCCCCCCCCC)CCCCCCCCCC,
c1cccc(c1)[C@H](CCCCCCCCCCC)CCCCCCCC,273.15,298.15,310.928,333.15,372.039,5.73783990900151,3.95408153730938,2.90793394002,2.1679595919,1.50161347563479,-3.4211293429508,1411.69717884813,,c1cccc(c1)C(CCCCCCCCCC)CCCCCCCCCC,
c1cccc(c1)CCC(CCCCCCCC)CCCCCCCC,273.15,298.15,310.928,333.15,372.039,4.83722568210196,3.22661597071929,2.45377361667688,1.89172616962404,1.35710176333741,-3.30274988272042,1325.44142108395,,c1cccc(c1)C(CCCCCCCCCC)CCCCCCCCCC,
C1CCCC(C1)CCC(CCCCCCCC)CCCCCCCC,273.15,298.15,310.928,333.15,372.039,6.33068306578985,4.03134997816709,2.94758752283614,2.18059219993727,1.5041680660251,-3.68225820294154,1502.42020225235,,c1cccc(c1)C(CCCCCCCCCC)CCCCCCCCCC,
c1ccc(cc1)CCC(CCc1ccccc1)CCc1ccccc1,273.15,298.15,310.928,333.15,372.039,14.3655063566697,6.49243701432986,4.08180862418727,2.7324004607598,1.75050903894632,-5.45147909923195,2183.59925992739,,c1ccc(cc1)C(c1ccccc1)CCCCCCCCCCCCC,
C1CCCC(C1)[C@H](CCCCCCCCCCCCCCCCCC)C,273.15,298.15,310.928,333.15,372.039,6.08672994381611,4.24243318364176,3.16833083926034,2.38507774127375,1.67065806559933,-3.17452318822898,1360.46024960349,,c1ccc(cc1)C(c1ccccc1)CCCCCCCCCCCCC,
C1CCCCC1[C@@H](CCC)CCCCCCCCCCCCCCCC,273.15,298.15,310.928,333.15,372.039,6.30127211463983,4.31694393215809,3.1469638638469,2.32820606073681,1.60675443271926,-3.43324521535667,1440.59224092258,,c1ccc(cc1)C(c1ccccc1)CCCCCCCCCCCCC,
C1(CCCC1)CCCC(CCCCCCCC)CCCCCCCC,273.15,298.15,310.928,333.15,372.039,5.26635956913086,3.50455816101076,2.64633073624452,2.00818101114605,1.42216807146222,-3.36830169684892,1367.99634189817,,c1ccc(cc1)C(c1ccccc1)CCCCCCCCCCCCC,
C1(CCCC1)CCCC(CCCC1CCCC1)CCCCCCCC,273.15,298.15,310.928,333.15,372.039,6.67298082663121,4.2404493013893,3.10166571688785,2.29466914262243,1.58072230357002,-3.63954790936252,1505.01187633755,,c1ccc(cc1)C(c1ccccc1)CCCCCCCCCCCCC,
C(CCCC1CCCC1)(CCCC1CCCC1)CCCC1CCCC1,273.15,298.15,310.928,333.15,372.039,9.45690071800789,5.53475667405373,3.8628673786927,2.73357272848863,1.79986374536752,-4.13634188152055,1732.59861087051,,[C@H]1(CCC[C@@H]1CCCCCCCCCCCCCCCC)C1CCCC1,
C1CCC(CC1)CCC(=CCC1CCCCC1)CCC1CCCCC1,273.15,298.15,310.928,333.15,372.039,28.2148598174087,12.3544482498821,7.134672681551,4.27728447616156,2.36678953649177,-6.21676471767662,2588.92097656721,,[C@H]1(CCC[C@@H]1CCCCCCCCCCCCCCCC)C1CCCC1,
c1(ccc(cc1)C(c1ccc(cc1)C)CCCCCCCCCCC)C,273.15,298.15,310.928,333.15,372.039,10.3155117397558,5.73615905491916,3.84563778359547,2.66155510305515,1.72833604390489,-4.55537310013433,1867.39654945577,,[C@H]1(CCC[C@@H]1CCCCCCCCCCCCCCCC)C1CCCC1,
c1ccc(cc1)CCC(=CCc1ccccc1)CCc1ccccc1,273.15,298.15,310.928,333.15,372.039,10.4942687371347,5.34980000192905,3.57403635202814,2.51483269239182,1.6773176792233,-4.71185711497468,1903.19632725814,,[C@H]1(CCC[C@@H]1CCCCCCCCCCCCCCCC)C1CCCC1,
C1CCC(CC1)CCC(CCCC1CCCC1)CCC1CCCCC1,273.15,298.15,310.928,333.15,372.039,22.1217754604963,10.26966511255,6.15807132716037,3.84263105377669,2.20774404715013,-5.78564457206425,2406.28889102625,,[C@H]1(CCC[C@@H]1CCCCCCCCCCCCCCCC)C1CCCC1,
