,T1,T2,T3,T4,T5
98,231.15,302.25,373.34999999999997,444.45,515.55
99,274.75,323.475,372.2,420.92499999999995,469.65
100,258.37,306.27750000000003,354.185,402.0925,450.0
101,286.75,324.6,362.45,400.29999999999995,438.15
102,297.15,353.9425,410.735,467.52750000000003,524.32
103,215.31,289.77,364.23,438.69,513.15
104,249.74,288.055,326.37,364.685,403.0
105,221.35,262.675,304.0,345.325,386.65
106,210.0,265.4125,320.825,376.23749999999995,431.65
107,264.55,334.895,405.24,475.585,545.93
108,159.95,205.18,250.41,295.64,340.87
109,176.15,212.3625,248.575,284.7875,321.0
110,205.0,258.4125,311.825,365.23749999999995,418.65
111,213.0,269.25,325.5,381.75,438.0
112,213.15,275.05,336.95,398.85,460.75
113,178.25,241.16174999999998,304.07349999999997,366.98525,429.897
114,190.15,242.0025,293.855,345.7075,397.56
115,197.25,261.6875,326.125,390.5625,455.0
116,188.0,258.425,328.85,399.275,469.7
117,200.0,267.83,335.65999999999997,403.49,471.32
118,171.9,222.82500000000002,273.75,324.675,375.6
119,205.0,267.5,330.0,392.5,455.0
120,178.15,242.3175,306.485,370.6525,434.82
121,230.0,307.125,384.25,461.375,538.5
122,220.15,287.11,354.07,421.03000000000003,487.99
123,183.15,243.4875,303.825,364.1625,424.5
124,193.15,250.32500000000002,307.5,364.675,421.85
125,180.37,227.84,275.31,322.78,370.25
126,252.45,325.125,397.79999999999995,470.47499999999997,543.15
127,243.82,295.7175,347.615,399.51250000000005,451.41
128,211.47,271.61,331.75,391.89,452.03
129,189.63,229.83499999999998,270.03999999999996,310.245,350.45
130,256.5,324.875,393.25,461.625,530.0
131,204.0,271.25,338.5,405.75,473.0
132,200.0,242.5875,285.175,327.76250000000005,370.35
133,185.258,245.1935,305.129,365.0645,425.0
134,142.61,188.385,234.16,279.935,325.71
135,262.37,299.565,336.76,373.955,411.15
136,165.0,204.2875,243.575,282.86249999999995,322.15
137,190.15,245.65,301.15,356.65,412.15
138,178.3,225.5125,272.725,319.9375,367.15
139,197.0,246.5375,296.075,345.61249999999995,395.15
140,279.1,356.82500000000005,434.55,512.275,590.0
141,283.8,346.3,408.79999999999995,471.29999999999995,533.8
142,262.65,291.875,321.1,350.325,379.55
143,255.55,314.9625,374.375,433.7875,493.2
144,252.15,318.89,385.63,452.37,519.11
145,211.61,268.505,325.4,382.295,439.19
146,209.15,264.185,319.22,374.255,429.29
147,181.15,223.175,265.2,307.225,349.25
148,274.33,300.40999999999997,326.49,352.57,378.65
149,233.2,293.4375,353.67499999999995,413.91249999999997,474.15
