T1_true,T1_pred,T2_true,T2_pred,T3_true,T3_pred,T4_true,T4_pred,T5_true,T5_pred
-2.010402168,-1.8507555440511,-2.103999198,-2.09381906111644,-2.207269842,-2.23245622787446,-2.322446666,-2.010402168,-2.452637164,-2.38474216168938
-1.754672117,-1.82712205204028,-1.832684078,-1.9368274077761,-1.917300788,-2.01033356268976,-2.009744915,-1.754672117,-2.111613597,-2.10263490475535
-1.967732753,-1.91189285877311,-2.048849703,-2.07469711584255,-2.137132128,-2.18136499659341,-2.2339697,-1.967732753,-2.341200204,-2.31265179742536
-2.0057436,-1.88861017855386,-2.101251858,-2.11966158638577,-2.206854522,-2.25393219459072,-2.324940325,-2.0057436,-2.458861125,-2.40355725433665
-1.768747205,-1.76943148960928,-1.860056545,-1.93719343620678,-1.970005642,-2.04351986069158,-2.104363624,-1.768747205,-2.272392163,-2.17067128960225
-2.128785799,-1.98710456292749,-2.174191687,-2.14418586347322,-2.221757743,-2.24762304630568,-2.271699816,-2.128785799,-2.324267819,-2.37550187770448
-1.949454123,-1.81662178244337,-2.016223358,-1.8799802768424,-2.087771726,-1.92929770043805,-2.164836485,-1.949454123,-2.248339863,-2.00109264284721
-2.018109917,-2.00107827650164,-2.042955287,-2.14317549801778,-2.068433711,-2.23711414251862,-2.094578294,-2.018109917,-2.12142481,-2.35365681106689
-2.057872475,-2.07001614666072,-2.125765205,-2.15479237910769,-2.198605285,-2.21966853191299,-2.277170814,-2.057872475,-2.362439243,-2.31242026891118
-1.931196241,-1.8243800459306,-2.021381748,-2.05401970453778,-2.12051423,-2.18496407272188,-2.230566377,-1.931196241,-2.354245076,-2.32877041629413
-1.971582918,-1.77316535207272,-2.069474111,-2.04220556989464,-2.177998271,-2.19176121137824,-2.299749989,-1.971582918,-2.438407226,-2.35289203747523
-1.963245649,-2.00051397785148,-2.025536147,-2.11454036283565,-2.091966023,-2.196687837672,-2.163124831,-1.963245649,-2.239737804,-2.30713745380072
-1.826848159,-1.79852820683756,-1.864706362,-1.90278741895903,-1.904054396,-1.98174401797678,-1.945014339,-1.826848159,-1.98772392,-2.09339786096404
-1.662294075,-1.65500944275482,-1.745925209,-1.84322492186018,-1.837194123,-1.96715856141583,-1.93763739,-1.662294075,-2.049307674,-2.1203710044845
-1.58291011,-1.71679305839301,-1.72793054,-1.9368146738702,-1.886845252,-2.06156351359707,-2.058616189,-1.58291011,-2.236635789,-2.19797466272127
-1.728812614,-1.88809818351252,-1.847036501,-2.08349673100562,-1.981134989,-2.19758174378203,-2.136042295,-1.728812614,-2.319424092,-2.32517767725964
-1.71085632,-1.75328536930567,-1.77949492,-1.86003206661098,-1.853194274,-1.93985725074027,-1.932760472,-1.71085632,-2.019208993,-2.05127577847117
-1.8272902,-1.44579228663438,-1.856573279,-1.47862144037796,-1.886739793,-1.50656913071888,-1.917844706,-1.8272902,-1.949948281,-1.55161104316063
-1.60556949,-1.49183882805126,-1.725120829,-1.73470472674766,-1.853947659,-1.88631480062209,-1.991918118,-1.60556949,-2.137130876,-2.06531059854624
-1.84321404,-1.79179836749093,-1.955571116,-1.99704379525412,-2.082169259,-2.12069517829261,-2.227149752,-1.84321404,-2.396772703,-2.2624768074598
-1.917007198,-1.92918102222821,-1.98846996,-2.00513891809913,-2.065435407,-2.06261165100036,-2.148822188,-1.917007198,-2.239800124,-2.14381013442091
-1.750268166,-1.84786938620175,-1.810424143,-1.89715826953439,-1.874431799,-1.93824947683683,-1.942818313,-1.750268166,-2.016227098,-2.00285324724952
-2.008225676,-2.13264836516448,-2.077720024,-2.20155271487255,-2.152406936,-2.25428646961592,-2.233125497,-2.008225676,-2.320936199,-2.32968403014446
-1.859198128,-1.79235691749405,-1.943080454,-1.98524861065894,-2.034648651,-2.10445839934612,-2.135454567,-1.859198128,-2.247573371,-2.24402790385133
-2.070309063,-2.01264501732699,-2.111509591,-2.30949326344582,-2.154480817,-2.45696245601188,-2.199381804,-2.070309063,-2.246394059,-2.60380046830425
-1.90107893,-1.9536113975291,-2.088854837,-2.22507293728452,-2.299897817,-2.35751298012967,-2.531573108,-1.90107893,-2.761040743,-2.48782968683628
-1.930565568,-1.94407836503717,-2.10278408,-2.23913670066966,-2.294606598,-2.38953149384239,-2.504615097,-1.930565568,-2.719197283,-2.54188634434042
-1.875797859,-1.91705496772418,-1.988969118,-2.18592160832758,-2.116602164,-2.33758969225659,-2.262942113,-1.875797859,-2.434430137,-2.50279986603835
-1.956057308,-1.94307587523764,-2.036446309,-2.1263290064766,-2.123867096,-2.24713726492242,-2.21966879,-1.956057308,-2.325630372,-2.39664232195067
-2.052268324,-2.05326868429111,-2.132178279,-2.1791542154406,-2.219032788,-2.26376033162448,-2.314154759,-2.052268324,-2.419285289,-2.37029541032455
-2.023642735,-2.0346235506676,-2.14341734,-2.2412890965528,-2.279515165,-2.36002917206386,-2.437098031,-2.023642735,-2.624244527,-2.4911896252872
-2.315824463,-2.25562110009391,-2.384136967,-2.36438563913673,-2.457460474,-2.43738026639265,-2.536588749,-2.315824463,-2.622520511,-2.52917454937463
-2.002195749,-1.95717356012385,-2.065699438,-2.02891804860834,-2.137142095,-2.08269062093095,-2.218020642,-2.002195749,-2.310337032,-2.15792092611129
-1.915786135,-1.98253873176966,-1.957950923,-2.02314352509195,-2.001972143,-2.05798347651974,-2.048020824,-1.915786135,-2.096292778,-2.11466916020538
