epoch,step,train_loss,val/mse,val_loss
0,7,,0.6630836129188538,0.6630836129188538
1,15,,0.34456145763397217,0.34456145763397217
2,23,,0.10078046470880508,0.10078046470880508
3,31,,0.10604317486286163,0.10604317486286163
4,39,,0.051133155822753906,0.051133155822753906
5,47,,0.12095435708761215,0.12095435708761215
6,49,0.31303343176841736,,
6,55,,0.09301437437534332,0.09301437437534332
7,63,,0.23153361678123474,0.23153361678123474
8,71,,0.1401146650314331,0.1401146650314331
9,79,,0.16763226687908173,0.16763226687908173
10,87,,0.06818955391645432,0.06818955391645432
11,95,,0.13948409259319305,0.13948409259319305
12,99,0.3400977849960327,,
12,103,,0.07978333532810211,0.07978333532810211
13,111,,0.1249440461397171,0.1249440461397171
14,119,,0.15859435498714447,0.15859435498714447
15,127,,0.07778309285640717,0.07778309285640717
16,135,,0.2499764859676361,0.2499764859676361
17,143,,0.2990691065788269,0.2990691065788269
18,149,0.33045509457588196,,
18,151,,0.21710172295570374,0.21710172295570374
19,159,,0.13086870312690735,0.13086870312690735
20,167,,0.19566619396209717,0.19566619396209717
21,175,,0.1474870890378952,0.1474870890378952
22,183,,0.1179012805223465,0.1179012805223465
23,191,,0.08036496490240097,0.08036496490240097
24,199,0.09045498073101044,,
24,199,,0.08505179733037949,0.08505179733037949
25,207,,0.15134549140930176,0.15134549140930176
26,215,,0.12433809041976929,0.12433809041976929
27,223,,0.08620888739824295,0.08620888739824295
28,231,,0.07781469076871872,0.07781469076871872
29,239,,0.21807913482189178,0.21807913482189178
30,247,,0.20528607070446014,0.20528607070446014
31,249,0.49520379304885864,,
31,255,,0.21593265235424042,0.21593265235424042
32,263,,0.07405909895896912,0.07405909895896912
33,271,,0.08977750688791275,0.08977750688791275
34,279,,0.1709999293088913,0.1709999293088913
35,287,,0.22102884948253632,0.22102884948253632
36,295,,0.12435790151357651,0.12435790151357651
37,299,0.3085792660713196,,
37,303,,0.08689041435718536,0.08689041435718536
38,311,,0.14421367645263672,0.14421367645263672
39,319,,0.20909401774406433,0.20909401774406433
40,327,,0.06463547050952911,0.06463547050952911
41,335,,0.08099577575922012,0.08099577575922012
42,343,,0.11009478569030762,0.11009478569030762
43,349,0.26182466745376587,,
43,351,,0.17467236518859863,0.17467236518859863
44,359,,0.08192040026187897,0.08192040026187897
45,367,,0.08114947378635406,0.08114947378635406
46,375,,0.1273949295282364,0.1273949295282364
47,383,,0.12363723665475845,0.12363723665475845
48,391,,0.183828666806221,0.183828666806221
49,399,0.03796618431806564,,
49,399,,0.24892571568489075,0.24892571568489075
50,407,,0.15022976696491241,0.15022976696491241
51,415,,0.10267800092697144,0.10267800092697144
52,423,,0.0831652507185936,0.0831652507185936
53,431,,0.18140976130962372,0.18140976130962372
54,439,,0.1337600201368332,0.1337600201368332
55,447,,0.14400000870227814,0.14400000870227814
56,449,0.585780143737793,,
56,455,,0.1348949819803238,0.1348949819803238
57,463,,0.23488172888755798,0.23488172888755798
58,471,,0.16586193442344666,0.16586193442344666
59,479,,0.080799400806427,0.080799400806427
60,487,,0.11669719219207764,0.11669719219207764
61,495,,0.14627517759799957,0.14627517759799957
62,499,0.11659412086009979,,
62,503,,0.1393575668334961,0.1393575668334961
63,511,,0.14850524067878723,0.14850524067878723
64,519,,0.10422798246145248,0.10422798246145248
65,527,,0.07036729902029037,0.07036729902029037
66,535,,0.0949903354048729,0.0949903354048729
67,543,,0.08686704933643341,0.08686704933643341
68,549,0.20030999183654785,,
68,551,,0.09879682958126068,0.09879682958126068
69,559,,0.07588674128055573,0.07588674128055573
70,567,,0.0812043771147728,0.0812043771147728
71,575,,0.143527552485466,0.143527552485466
72,583,,0.13713636994361877,0.13713636994361877
73,591,,0.20890405774116516,0.20890405774116516
74,599,0.05020413547754288,,
74,599,,0.08358082175254822,0.08358082175254822
75,607,,0.05484723299741745,0.05484723299741745
76,615,,0.07675521075725555,0.07675521075725555
77,623,,0.15234807133674622,0.15234807133674622
78,631,,0.14681382477283478,0.14681382477283478
79,639,,0.10318328440189362,0.10318328440189362
80,647,,0.08264801651239395,0.08264801651239395
81,649,0.1865956336259842,,
81,655,,0.1513260006904602,0.1513260006904602
82,663,,0.1488434225320816,0.1488434225320816
83,671,,0.08666475117206573,0.08666475117206573
84,679,,0.05338661000132561,0.05338661000132561
85,687,,0.07755155116319656,0.07755155116319656
86,695,,0.13405512273311615,0.13405512273311615
87,699,0.2304171621799469,,
87,703,,0.19071954488754272,0.19071954488754272
88,711,,0.11242301762104034,0.11242301762104034
89,719,,0.101821169257164,0.101821169257164
90,727,,0.06157264858484268,0.06157264858484268
91,735,,0.04656179994344711,0.04656179994344711
92,743,,0.09711651504039764,0.09711651504039764
93,749,0.13327816128730774,,
93,751,,0.15578937530517578,0.15578937530517578
94,759,,0.1109640821814537,0.1109640821814537
95,767,,0.08348499983549118,0.08348499983549118
96,775,,0.08727521449327469,0.08727521449327469
97,783,,0.0949568897485733,0.0949568897485733
98,791,,0.05066019296646118,0.05066019296646118
