smiles,temperature,conductivity,splits
CCCCCCCOC(=O)c1cc(C(=O)OCCCCCCC)ccc1(C(=O)OCCCCCCC),0.002950723,-2.087298971,train
CCCCCCCOC(=O)c1cc(C(=O)OCCCCCCC)ccc1(C(=O)OCCCCCCC),0.002330323,-2.215149015,train
CCCCCCCOC(=O)c1cc(C(=O)OCCCCCCC)ccc1(C(=O)OCCCCCCC),0.001925484,-2.361774427,train
CCCCCCCOC(=O)c1cc(C(=O)OCCCCCCC)ccc1(C(=O)OCCCCCCC),0.001640487,-2.533654849,train
CCCCCCCOC(=O)c1cc(C(=O)OCCCCCCC)ccc1(C(=O)OCCCCCCC),0.00142898,-2.741338303,train
FC(CC[Si](Cl)(Cl)C)(F)F,0.004885198,-2.054596121,train
FC(CC[Si](Cl)(Cl)C)(F)F,0.003761307,-2.167288235,train
FC(CC[Si](Cl)(Cl)C)(F)F,0.003057823,-2.29431201,train
FC(CC[Si](Cl)(Cl)C)(F)F,0.002576025,-2.439851223,train
FC(CC[Si](Cl)(Cl)C)(F)F,0.002225387,-2.610239967,train
FC(F)(F)C(=O)O,0.003877472,-1.716323535,train
FC(F)(F)C(=O)O,0.003575739,-1.770884476,train
FC(F)(F)C(=O)O,0.003317575,-1.828594983,train
FC(F)(F)C(=O)O,0.003094179,-1.889841074,train
FC(F)(F)C(=O)O,0.002898971,-1.955084394,train
P(OCC)(OCC)OCC,0.006666667,-2.025730173,train
P(OCC)(OCC)OCC,0.004552438,-2.114799657,train
P(OCC)(OCC)OCC,0.003456321,-2.212585261,train
P(OCC)(OCC)OCC,0.002785612,-2.320979538,train
P(OCC)(OCC)OCC,0.002332906,-2.44256788,train
CC[Ga](CC)CC,0.005239717,-1.838355602,train
CC[Ga](CC)CC,0.004049813,-1.922903269,train
CC[Ga](CC)CC,0.00330033,-2.022805513,train
CC[Ga](CC)CC,0.002784934,-2.142300748,train
CC[Ga](CC)CC,0.002408768,-2.287855804,train
NCCNCCNCCN,0.003506926,-1.640965732,train
NCCNCCNCCN,0.002855919,-1.727811623,train
NCCNCCNCCN,0.002408768,-1.822923255,train
NCCNCCNCCN,0.002082682,-1.928041155,train
NCCNCCNCCN,0.001834358,-2.045521004,train
OCCOCCOCCOC,0.004363954,-1.667917758,train
OCCOCCOCCOC,0.003348822,-1.776515688,train
OCCOCCOCCOC,0.002716838,-1.89836022,train
OCCOCCOCCOC,0.002285518,-2.03713797,train
OCCOCCOCCOC,0.001972387,-2.198326795,train
CCOCCOCCOCCO,0.003930045,-1.719413059,test
CCOCCOCCOCCO,0.003094778,-1.828871542,test
CCOCCOCCOCCO,0.002552323,-1.951800765,test
CCOCCOCCOCCO,0.002171671,-2.091987838,test
CCOCCOCCOCCO,0.001889823,-2.255082138,test
CCCCOCCOCCOCCO,0.004429679,-1.726564826,train
CCCCOCCOCCOCCO,0.003256268,-1.845245756,train
CCCCOCCOCCOCCO,0.002574334,-1.97993277,train
CCCCOCCOCCOCCO,0.002128565,-2.135626444,train
CCCCOCCOCCOCCO,0.001814388,-2.320112097,train
c1(CC)cc(CC)cc(CC)c1,0.004836993,-2.009329904,train
c1(CC)cc(CC)cc(CC)c1,0.003605975,-2.108728818,train
c1(CC)cc(CC)cc(CC)c1,0.002874431,-2.219109484,train
c1(CC)cc(CC)cc(CC)c1,0.002389643,-2.343203254,train
c1(CC)cc(CC)cc(CC)c1,0.002044781,-2.48490753,train
c1(CC)c(CC)cc(CC)cc1,0.005124263,-1.980815556,train
c1(CC)c(CC)cc(CC)cc1,0.0037154,-2.081824058,train
c1(CC)c(CC)cc(CC)cc1,0.002914177,-2.194193575,train
c1(CC)c(CC)cc(CC)cc1,0.002397219,-2.320807517,train
c1(CC)c(CC)cc(CC)cc1,0.002036038,-2.465808741,train
c1(CC)c(CC)c(CC)ccc1,0.004651163,-1.986078711,train
c1(CC)c(CC)c(CC)ccc1,0.003522057,-2.083322342,train
c1(CC)c(CC)c(CC)ccc1,0.002834065,-2.191051142,train
c1(CC)c(CC)c(CC)ccc1,0.002370932,-2.311802342,train
c1(CC)c(CC)c(CC)ccc1,0.002037905,-2.449162936,train
CCOP(=O)(OCC)OCC,0.00461574,-2.102931278,train
CCOP(=O)(OCC)OCC,0.00351463,-2.183845093,train
CCOP(=O)(OCC)OCC,0.002837684,-2.271886843,train
CCOP(=O)(OCC)OCC,0.002379394,-2.368434873,train
CCOP(=O)(OCC)OCC,0.002048551,-2.475310401,train
CC[Al](CC)CC,0.004532064,-1.833271702,train
CC[Al](CC)CC,0.003542645,-1.920193476,train
CC[Al](CC)CC,0.002907822,-2.015396142,train
CC[Al](CC)CC,0.002465939,-2.120625268,train
CC[Al](CC)CC,0.00214064,-2.238244091,train
CCOC(OCC)OCC,0.005074854,-2.0507091,train
CCOC(OCC)OCC,0.00395922,-2.144461459,train
CCOC(OCC)OCC,0.003245699,-2.24792126,train
CCOC(OCC)OCC,0.002750086,-2.363333579,train
CCOC(OCC)OCC,0.002385781,-2.49382502,train
[Si](OCC)(OCC)(OCC)CCCS,0.004761905,-1.661523415,train
[Si](OCC)(OCC)(OCC)CCCS,0.003543586,-1.772378519,train
[Si](OCC)(OCC)(OCC)CCCS,0.00282167,-1.896957731,train
[Si](OCC)(OCC)(OCC)CCCS,0.002344116,-2.039163157,train
[Si](OCC)(OCC)(OCC)CCCS,0.002004812,-2.204841331,train
c1ccccc1(CCCCCCCCCCCCC),0.003531697,-2.031760716,test
c1ccccc1(CCCCCCCCCCCCC),0.002732464,-2.141425802,test
c1ccccc1(CCCCCCCCCCCCC),0.002228214,-2.264615643,test
c1ccccc1(CCCCCCCCCCCCC),0.001881078,-2.405141987,test
c1ccccc1(CCCCCCCCCCCCC),0.001627525,-2.568695907,test
CCCCCCCCCCCCC=O,0.003088517,-1.923831447,train
CCCCCCCCCCCCC=O,0.002646395,-2.010287563,train
CCCCCCCCCCCCC=O,0.002315002,-2.104931754,train
CCCCCCCCCCCCC=O,0.00205737,-2.209478977,train
CCCCCCCCCCCCC=O,0.001851338,-2.326246223,train
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,0.00555093,-2.585033684,train
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,0.004358011,-2.694896097,train
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,0.003587122,-2.818335155,train
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,0.003047967,-2.959185902,train
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,0.002649709,-3.12317981,train
P(=O)(Oc1c(C)cccc1)(Oc1c(C)cccc1)Oc1c(C)cccc1,0.004070832,-1.983646607,val
P(=O)(Oc1c(C)cccc1)(Oc1c(C)cccc1)Oc1c(C)cccc1,0.002816703,-2.072800284,val
P(=O)(Oc1c(C)cccc1)(Oc1c(C)cccc1)Oc1c(C)cccc1,0.002153316,-2.170687296,val
P(=O)(Oc1c(C)cccc1)(Oc1c(C)cccc1)Oc1c(C)cccc1,0.001742843,-2.279206319,val
P(=O)(Oc1c(C)cccc1)(Oc1c(C)cccc1)Oc1c(C)cccc1,0.001463807,-2.400951569,val
ClC(Cl)(F)C(F)(F)Cl,0.004220834,-2.440939641,train
ClC(Cl)(F)C(F)(F)Cl,0.003416584,-2.587063104,train
ClC(Cl)(F)C(F)(F)Cl,0.00286977,-2.758253563,train
ClC(Cl)(F)C(F)(F)Cl,0.002473839,-2.964929585,train
ClC(Cl)(F)C(F)(F)Cl,0.002173913,-3.225754428,train
ClC(Cl)(Cl)C(F)(F)F,0.003478019,-2.545044245,train
ClC(Cl)(Cl)C(F)(F)F,0.003202511,-2.615096751,train
ClC(Cl)(Cl)C(F)(F)F,0.002967447,-2.690428774,train
ClC(Cl)(Cl)C(F)(F)F,0.002764531,-2.771901598,train
ClC(Cl)(Cl)C(F)(F)F,0.00258759,-2.860605579,train
C(Cl)C(Cl)C(Cl),0.00386922,-2.155454281,train
C(Cl)C(Cl)C(Cl),0.003098493,-2.261303908,train
C(Cl)C(Cl)C(Cl),0.002583812,-2.379698562,train
C(Cl)C(Cl)C(Cl),0.00221576,-2.514016994,train
C(Cl)C(Cl)C(Cl),0.001939488,-2.669218025,train
C(Cl)=C(Cl)Cl,0.005307856,-1.917488692,train
C(Cl)=C(Cl)Cl,0.004322922,-2.006306849,train
C(Cl)=C(Cl)Cl,0.003646308,-2.103789564,train
C(Cl)=C(Cl)Cl,0.003152834,-2.211811826,train
C(Cl)=C(Cl)Cl,0.002777006,-2.332931936,train
C(Cl)(Cl)CCl,0.00422833,-1.909245874,train
C(Cl)(Cl)CCl,0.003357113,-2.018533177,train
C(Cl)(Cl)CCl,0.002783577,-2.14124648,train
C(Cl)(Cl)CCl,0.002377415,-2.281152716,train
C(Cl)(Cl)CCl,0.002074689,-2.4438669,train
C(Cl)(Cl)(Cl)C,0.004113534,-2.187928361,val
C(Cl)(Cl)(Cl)C,0.003299105,-2.300805178,val
C(Cl)(Cl)(Cl)C,0.002753873,-2.428063739,val
C(Cl)(Cl)(Cl)C,0.002363298,-2.573911518,val
C(Cl)(Cl)(Cl)C,0.002069751,-2.74472347,val
c1(Cl)c(Cl)cc(Cl)cc1,0.003446493,-2.183800959,val
c1(Cl)c(Cl)cc(Cl)cc1,0.002948548,-2.233226862,val
c1(Cl)c(Cl)cc(Cl)cc1,0.002576324,-2.285223285,val
