smiles,Conductivity,temperature,splits,Conductivity_original,temperature,,mean,-2.099614069
COC(=O)C1=C(C(=O)OC)C=C(C(=O)OC)C=C1,0.068172238,-0.914179574,train,-2.081872141,0.002252125,,,
COC(=O)C1=C(C(=O)OC)C=C(C(=O)OC)C=C1,-0.47521511,-1.276760416,train,-2.22328952,0.001867544,,,
COC(=O)C1=C(C(=O)OC)C=C(C(=O)OC)C=C1,-1.108306562,-1.533571032,train,-2.388052528,0.001595151,,,
C=C[Si](OC)(OC)OC,1.675507781,2.3147548,train,-1.663560635,0.00567698,,,
C=C[Si](OC)(OC)OC,1.213475,0.844698743,train,-1.783805365,0.004117726,,,
C=C[Si](OC)(OC)OC,0.688193288,0.008174175,train,-1.920510725,0.003230444,,,
C=C[Si](OC)(OC)OC,0.079557566,-0.531754794,train,-2.078909092,0.002657754,,,
C=C[Si](OC)(OC)OC,-0.643968661,-0.909074342,train,-2.267207887,0.00225754,,,
[Si](OC)(OC)(OC)CCCS,2.022336635,1.676501796,train,-1.573297901,0.005,,,
[Si](OC)(OC)(OC)CCCS,1.602061764,0.431395558,train,-1.682675072,0.003679345,,,
[Si](OC)(OC)(OC)CCCS,1.140310326,-0.293398437,train,-1.802846582,0.002910573,,,
[Si](OC)(OC)(OC)CCCS,0.627054761,-0.767658942,train,-1.936422119,0.002407536,,,
[Si](OC)(OC)(OC)CCCS,0.048076673,-1.102143566,train,-2.087102042,0.002052756,,,
CC(C)C[Al](CC(C)C)CC(C)C,-0.763901636,0.360599235,train,-2.298420625,0.003604253,,,
CC(C)C[Al](CC(C)C)CC(C)C,-1.068243825,-0.213358957,train,-2.37762614,0.002995469,,,
CC(C)C[Al](CC(C)C)CC(C)C,-1.423537626,-0.621442832,train,-2.470091889,0.002562624,,,
CC(C)C[Al](CC(C)C)CC(C)C,-1.842661776,-0.926480214,train,-2.579169583,0.002239078,,,
CC(C)C[Al](CC(C)C)CC(C)C,-2.344599351,-1.163127284,train,-2.709799596,0.001988072,,,
CCCCCCCOC(=O)c1cc(C(=O)OCCCCCCC)ccc1(C(=O)OCCCCCCC),0.047319894,-0.255545239,val,-2.087298995,0.002950723,,,
CCCCCCCOC(=O)c1cc(C(=O)OCCCCCCC)ccc1(C(=O)OCCCCCCC),-0.443935776,-0.840454932,val,-2.215149026,0.002330323,,,
CCCCCCCOC(=O)c1cc(C(=O)OCCCCCCC)ccc1(C(=O)OCCCCCCC),-1.007334596,-1.222134904,val,-2.361774421,0.001925484,,,
CCCCCCCOC(=O)c1cc(C(=O)OCCCCCCC)ccc1(C(=O)OCCCCCCC),-1.667774174,-1.490828502,val,-2.53365482,0.001640487,,,
CCCCCCCOC(=O)c1cc(C(=O)OCCCCCCC)ccc1(C(=O)OCCCCCCC),-2.465784602,-1.690236133,val,-2.741338241,0.00142898,,,
FC(CC[Si](Cl)(Cl)C)(F)F,0.172978741,1.568267104,train,-2.05459609,0.004885198,,,
FC(CC[Si](Cl)(Cl)C)(F)F,-0.260033613,0.508668878,train,-2.16728821,0.003761307,,,
FC(CC[Si](Cl)(Cl)C)(F)F,-0.748114481,-0.154571951,train,-2.294311994,0.003057823,,,
FC(CC[Si](Cl)(Cl)C)(F)F,-1.307339757,-0.608808443,train,-2.439851218,0.002576025,,,
FC(CC[Si](Cl)(Cl)C)(F)F,-1.962047806,-0.939388013,train,-2.610239978,0.002225387,,,
FC(F)(F)C(=O)O,1.472769712,0.618188599,train,-1.716323524,0.003877472,,,
FC(F)(F)C(=O)O,1.263122711,0.333716393,train,-1.770884473,0.003575739,,,
FC(F)(F)C(=O)O,1.041373698,0.0903208,train,-1.828594989,0.003317575,,,
FC(F)(F)C(=O)O,0.806039423,-0.120295715,train,-1.88984109,0.003094179,,,
FC(F)(F)C(=O)O,0.55534604,-0.304336739,train,-1.955084422,0.002898971,,,
P(OCC)(OCC)OCC,0.283894204,3.247826236,train,-2.025730173,0.006666667,,,
P(OCC)(OCC)OCC,-0.058349801,1.254542815,train,-2.114799693,0.004552438,,,
P(OCC)(OCC)OCC,-0.434084625,0.221129762,train,-2.212585249,0.003456321,,,
P(OCC)(OCC)OCC,-0.850582957,-0.411210978,train,-2.32097957,0.002785612,,,
P(OCC)(OCC)OCC,-1.317778248,-0.838019694,train,-2.442567851,0.002332906,,,
CC[Ga](CC)CC,1.003869071,1.902505659,train,-1.838355625,0.005239717,,,
CC[Ga](CC)CC,0.679000012,0.780670741,train,-1.922903289,0.004049813,,,
CC[Ga](CC)CC,0.295132125,0.074062309,train,-2.022805487,0.00330033,,,
CC[Ga](CC)CC,-0.164021011,-0.411850192,train,-2.142300785,0.002784934,,,
CC[Ga](CC)CC,-0.723306836,-0.766497419,train,-2.287855767,0.002408768,,,
NCCNCCNCCN,1.762327268,0.268839877,val,-1.640965732,0.003506926,,,
NCCNCCNCCN,1.428627417,-0.344925926,val,-1.727811623,0.002855919,,,
NCCNCCNCCN,1.063166978,-0.766497419,val,-1.822923255,0.002408768,,,
NCCNCCNCCN,0.659258086,-1.073929498,val,-1.928041155,0.002082682,,,
NCCNCCNCCN,0.207849186,-1.308047994,val,-2.045521004,0.001834358,,,
OCCOCCOCCOC,1.658765803,1.076841141,train,-1.66791776,0.004363954,,,
OCCOCCOCCOC,1.241485227,0.119780299,train,-1.776515661,0.003348822,,,
OCCOCCOCCOC,0.773305196,-0.476050725,train,-1.898360222,0.002716838,,,
OCCOCCOCCOC,0.240060607,-0.882696838,train,-2.037137933,0.002285518,,,
OCCOCCOCCOC,-0.379297416,-1.177915015,train,-2.198326795,0.001972387,,,
CCOCCOCCOCCO,1.460898261,0.667754133,train,-1.719413087,0.003930045,,,
CCOCCOCCOCCO,1.040311003,-0.119730981,train,-1.828871557,0.003094778,,,
CCOCCOCCOCCO,0.567963285,-0.631154558,train,-1.951800765,0.002552323,,,
CCOCCOCCOCCO,0.029303388,-0.990031161,train,-2.091987818,0.002171671,,,
CCOCCOCCOCCO,-0.597376421,-1.255755898,train,-2.255082186,0.001889823,,,
CCCCOCCOCCOCCO,1.433418156,1.138806308,val,-1.726564826,0.004429679,,,
CCCCOCCOCCOCCO,0.977394128,0.032520899,val,-1.845245769,0.003256268,,,
CCCCOCCOCCOCCO,0.459867721,-0.610402709,val,-1.979932799,0.002574334,,,
CCCCOCCOCCOCCO,-0.138375146,-1.030671259,val,-2.13562641,0.002128565,,,
CCCCOCCOCCOCCO,-0.84724967,-1.326875599,val,-2.320112077,0.001814388,,,
c1(CC)cc(CC)cc(CC)c1,0.346911056,1.522819697,train,-2.009329942,0.004836993,,,
c1(CC)cc(CC)cc(CC)c1,-0.035022867,0.362222727,train,-2.108728823,0.003605975,,,
c1(CC)cc(CC)cc(CC)c1,-0.459153455,-0.327472915,train,-2.21910945,0.002874431,,,
c1(CC)cc(CC)cc(CC)c1,-0.935976136,-0.784528363,train,-2.343203274,0.002389643,,,
c1(CC)cc(CC)cc(CC)c1,-1.480465675,-1.109662352,train,-2.4849075,0.002044781,,,
c1(CC)c(CC)cc(CC)cc1,0.456475879,1.793656266,test,-1.980815531,0.005124263,,,
c1(CC)c(CC)cc(CC)cc1,0.068357101,0.465388012,test,-2.08182403,0.0037154,,,
c1(CC)c(CC)cc(CC)cc1,-0.36341566,-0.290000606,test,-2.194193544,0.002914177,,,
c1(CC)c(CC)cc(CC)cc1,-0.84992172,-0.777385752,test,-2.320807482,0.002397219,,,
c1(CC)c(CC)cc(CC)cc1,-1.407079742,-1.117905204,test,-2.4658087,0.002036038,,,
c1(CC)c(CC)c(CC)ccc1,0.436252442,1.347620199,train,-1.986078711,0.004651163,,,
c1(CC)c(CC)c(CC)ccc1,0.062599855,0.2831053,train,-2.083322362,0.003522057,,,
c1(CC)c(CC)c(CC)ccc1,-0.351341009,-0.365529757,train,-2.191051098,0.002834065,,,
c1(CC)c(CC)c(CC)ccc1,-0.815319938,-0.802168991,train,-2.311802316,0.002370932,,,
c1(CC)c(CC)c(CC)ccc1,-1.343119446,-1.116145007,train,-2.449162936,0.002037905,,,
CCOP(=O)(OCC)OCC,-0.012746262,1.314223591,train,-2.102931303,0.00461574,,,
CCOP(=O)(OCC)OCC,-0.323652237,0.276103166,train,-2.183845053,0.00351463,,,
CCOP(=O)(OCC)OCC,-0.661947181,-0.362117784,train,-2.271886824,0.002837684,,,
CCOP(=O)(OCC)OCC,-1.032926985,-0.794191064,train,-2.368434879,0.002379394,,,
CCOP(=O)(OCC)OCC,-1.443589567,-1.106108017,train,-2.475310437,0.002048551,,,
CC[Al](CC)CC,1.023403724,1.23533432,train,-1.833271702,0.004532064,,,
CC[Al](CC)CC,0.689412297,0.302515553,train,-1.920193476,0.003542645,,,
CC[Al](CC)CC,0.323602065,-0.295992065,train,-2.015396142,0.002907822,,,
CC[Al](CC)CC,-0.080734205,-0.712596916,train,-2.120625268,0.002465939,,,
CC[Al](CC)CC,-0.532677104,-1.019287016,train,-2.238244091,0.00214064,,,
CCOC(OCC)OCC,0.187914343,1.747073734,train,-2.050709077,0.005074854,,,
CCOC(OCC)OCC,-0.172323279,0.695260161,train,-2.144461463,0.00395922,,,
CCOC(OCC)OCC,-0.569861161,0.022556504,train,-2.247921298,0.003245699,,,
CCOC(OCC)OCC,-1.013325458,-0.444704694,train,-2.363333552,0.002750086,,,
CCOC(OCC)OCC,-1.514730733,-0.788169436,train,-2.493825033,0.002385781,,,
