smiles,lnA,Viscosity,temperature,splits,Viscosity_unnormed,lnA_unnormed,temperature_unnormed
[O-][N+](=O)c1ccccc1F,-3.6564675,0.360210513,2.08618335941171,val,0.460584407,-4.656538028,0.003094538
[O-][N+](=O)c1ccccc1F,-3.6564675,0.231912883,2.02356357135104,val,0.297137231,-4.656538028,0.003001651
[O-][N+](F)=O,-1.827174705,-0.316851305,4.22003250752183,val,-0.401971219,-2.326076096,0.006259781
[O-][N+](F)=O,-1.827174705,-0.335852501,4.17043123364765,val,-0.42617815,-2.326076096,0.006186205
[O-][N+](F)=O,-1.827174705,-0.375293065,4.05747939291428,val,-0.476424197,-2.326076096,0.006018658
[O-][N+](F)=O,-1.827174705,-0.453653879,3.94932750148482,val,-0.576253429,-2.326076096,0.005858231
[O-][N+](F)=O,-1.827174705,-0.543841135,3.63129647844169,val,-0.691149178,-2.326076096,0.00538648
[O-][N+]=O,-3.019267102,-0.323922962,2.64632058942299,val,-0.410980289,-3.844764607,0.003925417
[O-][N+]=O,-3.019267102,-0.504127094,2.46805842724807,val,-0.64055473,-3.844764607,0.003660992
[O-][N+]=O,-3.019267102,-0.597325808,2.3575807176868,val,-0.759286983,-3.844764607,0.003497115
[O-][N+]=O,-3.019267102,-0.654723027,2.32505634210156,val,-0.832409248,-3.844764607,0.00344887
[O-][N+]=O,-3.019267102,-0.6711337,2.31467847418241,val,-0.853315933,-3.844764607,0.003433476
[O-][n+]1ccccc1,-3.468078924,0.859720257,1.96459295823168,val,1.096944232,-4.416536862,0.002914177
[O-][n+]1ccccc1,-3.468078924,0.619711778,1.86926407743559,val,0.791180921,-4.416536862,0.002772771
[O-][n+]1ccccc1,-3.468078924,0.474746259,1.75949422556661,val,0.606499374,-4.416536862,0.002609944
[O-][n+]1ccccc1,-3.468078924,0.346219971,1.74808827861818,val,0.442760893,-4.416536862,0.002593025
[O-][n+]1ccccc1,-3.468078924,0.224294808,1.69320638635951,val,0.287432041,-4.416536862,0.002511616
[O-]C(=O)CCCF,-3.698341768,0.063434652,2.29967661015715,test,0.082501222,-4.709884538,0.003411223
[O-]C(=O)CCCF,-3.698341768,-0.060825013,2.22381718664994,test,-0.075801713,-4.709884538,0.003298697
[O-]C(=O)CCCF,-3.698341768,-0.180415368,2.1528028805089,test,-0.228156093,-4.709884538,0.003193358
[O-]C(=O)CCCF,-3.698341768,-0.284667353,2.08618335941171,test,-0.360969868,-4.709884538,0.003094538
[O-]C(=O)CCCF,-3.698341768,-0.379094276,2.02356357135104,test,-0.481266822,-4.709884538,0.003001651
Br,-0.938740418,-0.074491493,3.60894098421882,val,-0.093212382,-1.194238541,0.005353319
Br,-0.938740418,-0.082284759,3.57071060148354,val,-0.103140759,-1.194238541,0.00529661
Br,-0.938740418,-0.09279762,3.533281783316,val,-0.116533816,-1.194238541,0.00524109
Br,-0.938740418,-0.104347723,3.48038324089611,val,-0.131248287,-1.194238541,0.005162623
Br,-0.938740418,-0.122455759,3.41687896779517,val,-0.15431736,-1.194238541,0.005068424
BrC=CBr,-2.625475467,-0.257005978,2.10048343309632,val,-0.32573014,-3.343086353,0.00311575
BrC=CBr,-2.625475467,-0.449474906,1.92685875003118,val,-0.570929548,-3.343086353,0.002858204
BrC=CBr,-2.625475467,-0.507111693,1.8773329809775,val,-0.644357016,-3.343086353,0.00278474
BrC=CBr,-2.625475467,-0.572561969,1.82079739831961,val,-0.727738625,-3.343086353,0.002700878
BrC=CBr,-2.625475467,-0.621165559,1.7793708695661,val,-0.789658081,-3.343086353,0.002639428
BrC1CCCCC1,-2.80515229,0.139167617,2.33958090779715,val,0.178982656,-3.571989018,0.003470415
BrC1CCCCC1,-3.27508818,0.748702791,2.32987786421132,val,0.955511445,-4.170672677,0.003456022
BrC1CCCCC1,-2.80515229,0.089732356,2.28486755308427,val,0.116003676,-3.571989018,0.003389256
BrC1CCCCC1,-2.80515229,-0.345528415,1.95774696312196,val,-0.438504962,-3.571989018,0.002904022
BrC1CCCCC1,-3.27508818,-0.142869284,1.86358031724159,val,-0.180323554,-4.170672677,0.00276434
Brc1ccccc1,-2.80515229,-0.472024351,1.85129797505509,val,-0.599656837,-3.571989018,0.002746121
Brc1ccccc1,-3.27508818,-0.405573868,1.71038980037739,val,-0.515000995,-4.170672677,0.002537105
Brc1ccccc1,-2.80515229,-0.635120568,1.70735747285366,val,-0.807436327,-3.571989018,0.002532607
Brc1ccccc1,-3.27508818,-0.635120568,1.57456539223069,val,-0.807436327,-4.170672677,0.00233563
Brc1ccccc1,-3.27508818,-0.674827582,1.54923622155002,val,-0.858021824,-4.170672677,0.002298058
Brc1ccccn1,-2.908329818,0.378323632,2.22381718664994,val,0.483659956,-3.703433969,0.003298697
Brc1ccccn1,-2.908329818,0.264469073,2.1528028805089,val,0.338612801,-3.703433969,0.003193358
Brc1ccccn1,-2.908329818,0.161808824,2.08618335941171,val,0.207826847,-3.703433969,0.003094538
Brc1ccccn1,-2.908329818,-0.249432329,1.80664631182547,val,-0.316081547,-3.703433969,0.002679887
Brc1ccccn1,-2.908329818,-0.412832797,1.69320638635951,val,-0.524248644,-3.703433969,0.002511616
BrCC=C,-2.955581529,-0.38061993,2.46535104011261,val,-0.483210457,-3.763631174,0.003656976
BrCC=C,-2.955581529,-0.43843854,2.40948623688694,val,-0.556869562,-3.763631174,0.003574109
BrCC=C,-2.955581529,-0.489079696,2.36071753848892,val,-0.621384814,-3.763631174,0.003501768
BrCC=C,-2.955581529,-0.682641783,2.17208559819705,val,-0.867976872,-3.763631174,0.003221961
BrCC=C,-2.955581529,-0.75979613,2.10009107768974,val,-0.966269102,-3.763631174,0.003115168
BrCCBr,-3.065908589,0.175086563,2.14158704391212,test,0.224742273,-3.904184406,0.003176721
BrCCBr,-3.065908589,-0.065070283,1.98017391726425,test,-0.081210055,-3.904184406,0.002937289
BrCCBr,-3.065908589,-0.214680438,1.87722848769912,test,-0.271808723,-3.904184406,0.002784585
BrCCBr,-3.065908589,-0.432978006,1.72788130102896,test,-0.549913012,-3.904184406,0.002563051
BrCCBr,-3.065908589,-0.496714872,1.68596533924248,test,-0.63111179,-3.904184406,0.002500875
C(=CBr)Br,-3.341621942,-0.903363155,2.4154430279051,test,-1.149169012,-4.255434613,0.003582945
C(=CBr)Br,-3.341621942,-0.982249508,2.33585150898406,test,-1.249667764,-4.255434613,0.003464883
C(=CBr)Br,-3.341621942,-1.023579534,2.29372993139174,test,-1.302320927,-4.255434613,0.003402402
C(=CBr)Br,-3.341621942,-1.212643184,2.10731190030128,test,-1.543182117,-4.255434613,0.003125879
C(=CBr)Br,-3.341621942,-1.27810943,2.04691141464349,test,-1.626584071,-4.255434613,0.003036284
C(c1ccccc1)c2ccccc2,-3.404292364,-0.303472828,1.67262188466773,val,-0.384927457,-4.335274775,0.002481082
C(c1ccccc1)c2ccccc2,-3.404292364,-0.426205328,1.6106802916913,val,-0.541284831,-4.335274775,0.002389201
C(c1ccccc1)c2ccccc2,-3.404292364,-0.534186815,1.55101867463422,val,-0.678849876,-4.335274775,0.002300702
C(c1ccccc1)c2ccccc2,-3.404292364,-0.642192225,1.49329995840493,val,-0.816445397,-4.335274775,0.002215085
C(c1ccccc1)c2ccccc2,-3.404292364,-0.827177178,1.3924410236566,val,-1.052110455,-4.335274775,0.002065476
C(CO)O,-5.676040317,2.112757768,2.26111050063067,val,2.693274916,-7.22941077,0.003354016
C(CO)O,-5.676040317,2.032882553,2.22381718664994,val,2.591516385,-7.22941077,0.003298697
C(CO)O,-5.676040317,1.734778344,2.1528028805089,val,2.211740926,-7.22941077,0.003193358
C(CO)O,-5.676040317,0.260880218,1.71474009150915,val,0.334040711,-7.22941077,0.002543558
C(CO)O,-5.676040317,0.028328723,1.63173197945999,val,0.037777364,-7.22941077,0.002420428
C(F)(F)(Cl)Cl,-2.363421496,-0.75979613,2.79730393858761,val,-0.966269102,-3.009237772,0.004149378
C(F)(F)(Cl)Cl,-2.363421496,-0.835993108,2.66462511519541,val,-1.063341675,-3.009237772,0.003952569
C(F)(F)(Cl)Cl,-2.363421496,-0.905098945,2.54396301881755,val,-1.151380354,-3.009237772,0.003773585
C(F)(F)(Cl)Cl,-2.363421496,-1.128766073,2.1538343302891,val,-1.436325295,-3.009237772,0.003194888
C(F)(F)(Cl)Cl,-2.363421496,-1.174642819,2.07430820393582,val,-1.494770837,-3.009237772,0.003076923
C(OCc1ccccc1)c2ccccc2,-4.483132588,1.553832944,2.3808941793199,train,1.981222134,-5.709683552,0.003531697
C(OCc1ccccc1)c2ccccc2,-4.483132588,1.09886063,2.22381718664994,train,1.401601605,-5.709683552,0.003298697
C(OCc1ccccc1)c2ccccc2,-4.483132588,0.913208382,2.1528028805089,train,1.165086435,-5.709683552,0.003193358
C(OCc1ccccc1)c2ccccc2,-4.483132588,0.604804401,2.02356357135104,train,0.772189388,-5.709683552,0.003001651
C(OCc1ccccc1)c2ccccc2,-4.483132588,0.141984695,1.80664631182547,train,0.182571526,-5.709683552,0.002679887
C[C@@H](O)c1ccccc1,-6.938306707,1.677593327,2.26111117478085,val,2.138889,-8.837498757,0.003354017
C[C@@H](O)c1ccccc1,-6.938306707,1.235780412,2.1528028805089,val,1.576033134,-8.837498757,0.003193358
C[C@@H](O)c1ccccc1,-6.938306707,0.715909224,2.02356357135104,val,0.913733465,-8.837498757,0.003001651
C[C@@H](O)c1ccccc1,-6.938306707,0.344837405,1.90896275926973,val,0.440999548,-8.837498757,0.002831658
C[C@@H](O)c1ccccc1,-6.938306707,0.161808824,1.85639589873995,val,0.207826847,-8.837498757,0.002753683
C[C@@H]1CC[C@@H](C)CC1,-3.503411521,-0.040761337,2.46805842724807,test,-0.050241216,-4.461549487,0.003660992
C[C@@H]1CC[C@@H](C)CC1,-3.503411521,-0.228187497,2.33958090779715,test,-0.289016295,-4.461549487,0.003470415
C[C@@H]1CC[C@@H](C)CC1,-3.503411521,-0.274596598,2.29967661015715,test,-0.348140041,-4.461549487,0.003411223
C[C@@H]1CC[C@@H](C)CC1,-3.503411521,-0.384191363,2.22381718664994,test,-0.487760351,-4.461549487,0.003298697
C[C@@H]1CC[C@@H](C)CC1,-3.503411521,-0.474889131,2.1528028805089,test,-0.603306477,-4.461549487,0.003193358
C[C@@H]1CCC[C@@H](C)C1,-3.330605472,-0.146638552,2.46805842724807,val,-0.185125484,-4.241399974,0.003660992
C[C@@H]1CCC[C@@H](C)C1,-3.330605472,-0.321558657,2.33958090779715,val,-0.407968238,-4.241399974,0.003470415
C[C@@H]1CCC[C@@H](C)C1,-3.330605472,-0.362753683,2.29967661015715,val,-0.460449416,-4.241399974,0.003411223
C[C@@H]1CCC[C@@H](C)C1,-3.330605472,-0.462079169,2.22381718664994,val,-0.586986985,-4.241399974,0.003298697
C[C@@H]1CCC[C@@H](C)C1,-3.330605472,-0.545409464,2.1528028805089,val,-0.693147181,-4.241399974,0.003193358
C[C@H]1CC[C@@H](C)CC1,-3.732269382,0.157332526,2.46805842724807,val,0.202124184,-4.75310726,0.003660992
C[C@H]1CC[C@@H](C)CC1,-3.732269382,-0.055760811,2.33958090779715,val,-0.069350078,-4.75310726,0.003470415
C[C@H]1CC[C@@H](C)CC1,-3.732269382,-0.106139844,2.29967661015715,val,-0.133531393,-4.75310726,0.003411223
C[C@H]1CC[C@@H](C)CC1,-3.732269382,-0.228187497,2.22381718664994,val,-0.289016295,-4.75310726,0.003298697
C[C@H]1CC[C@@H](C)CC1,-3.732269382,-0.328673043,2.1528028805089,val,-0.417031744,-4.75310726,0.003193358
