SMILES,lnA,EaR
O1COCCC1,22.70992246,-4254.343135
CCOCOCC,22.85193725,-4102.673619
c1(CCCCC)cccc(cccc2)c12,23.97742513,-7316.076346
c1(cccn2)c2c(C)ccc1,23.08540583,-6092.20425
CCCCCCCCN(CCCCCCCC)CCCCCCCC,27.04537451,-10012.791
N(O)=C(CC)C,24.66150283,-5656.084743
CN1CCCCC1,21.98550951,-3991.584783
CCCCCNCCCCC,24.42568902,-6218.555054
CCCCCN(CCCCC)CCCCC,25.15208974,-7116.638048
CCCCCCCCCCCN,23.46884848,-6197.913472
CCCCCCCCNCCCCCCCC,24.64630238,-7690.490826
CCCCC(CC)CNCC(CC)CCCC,25.3723004,-7750.505862
CN(C)CCN(C)C,22.79197413,-4480.292064
N(CCO)(CCO)CC,25.6282945,-7535.258094
NCCCN,23.30901311,-4876.184261
c1(C)c(N=C=O)cccc1(N=C=O),23.38177525,-6274.584679
c1(NCC)ccccc1,23.75658512,-5934.600616
CC(C)(C)SSC(C)(C)C,22.72432032,-5331.812973
CC(C)(C)SC(C)(C)C,22.05835939,-4518.074322
CC1CCCS1,22.54693656,-4528.287225
CC(S)CCC,22.58141258,-4319.297109
CSC(C)C,22.34725062,-3912.076865
CCC1CCCS1,22.59138737,-4819.349633
S1C=CC=C1(CC),22.65062665,-4569.522373
S1C=CC=C1(CCC),22.85160247,-4937.749057
S1C(C)=CC=C1(C),22.5882843,-4563.119622
CSSCC,22.60151464,-4539.569448
CCCSSCC,23.1644432,-5258.596678
CSc1ccccc1,22.85372514,-5350.117611
CCCCSCCCC,23.33439184,-5518.846449
CC(C)CCSCCC(C)C,24.15458368,-6248.639957
CCSCCC,22.86507973,-4502.355717
CSCCCCC,23.22052801,-4974.308965
c1cccc(cc(CC)s2)c21,23.31646307,-6314.342193
c1cccc2c(C)c(C)sc12,23.32375863,-6423.253975
CCSCCCCC,23.2534704,-5257.775787
CC1=CC(C)=C(C)S1,22.68986106,-4935.697575
CC(C)SC(C)C,22.47276407,-4346.895002
CC1=C(C)SC=C1,22.4270179,-4559.606275
CC1=CSC=C1C,22.55459201,-4655.616041
c1cccc(c(CC)cs2)c21,23.36366069,-6364.369669
c1cc(C)cc(c(C)cs2)c21,23.18601934,-6331.404479
CCSSC(C)(C)C,22.66312393,-5048.858447
CCCCSSCCCC,23.95352231,-6428.523644
CCCCC(CC)COCCO,25.93671771,-7246.627513
CCOCC(C)OC(=O)C,23.92038157,-5498.142603
CC(C)(C)OC(C)COCC(O)C,27.18267815,-7905.72667
ClC(Cl)C(=O)O,24.34330393,-6043.219534
CC(O)COC,23.84909853,-4914.250045
COC(C)COC(C)CO,24.89348467,-6151.688784
CC(C)(C)OCC(O)C,23.38148958,-5094.299785
COC(C)COC(C)COC(C)CO,26.8191294,-7944.040604
CC(CC1C)(CCC1)C,22.14553897,-4393.756909
CCCCC,22.1704047,-3324.609103
CC(C)CC,22.15201851,-3238.160847
CCCCCC,22.30265074,-3718.4168
CC(C)CCC,22.4521523,-3690.695741
CCC(C)CC,22.52640579,-3756.363311
CC(C)(C)CC,21.85741056,-3360.131189
CC(C)C(C)C,22.12477859,-3547.424338
C1(CCC(CC1)C(C)C)C,22.63441213,-4973.600391
CCCCCCC,22.57920136,-4150.485467
CC(C)CCCC,22.5740621,-4060.165278
CCC(C)CCC,22.55942862,-4075.117714
CCC(CC)CC,22.55211046,-4093.981931
CC(C)(C)CCC,22.32006898,-3850.238454
CC(C)C(C)CC,22.36606841,-3979.027302
CC(C)CC(C)C,22.3955534,-3890.41315
CCC(C)(C)CC,22.27882663,-3910.910513
CC(C)(C)C(C)C,21.71044278,-3613.831508
CCCCCCC1CCCCC1,23.38785507,-5970.684842
CCCCCCCC,22.67461541,-4486.715712
CC(C)CCCCC,22.84392595,-4480.057912
CCC(C)CCCC,22.91559226,-4530.106932
CCCC(C)CCC,22.9404382,-4526.863824
CCC(CC)CCC,22.7362981,-4445.530736
CC(C)(C)CCCC,22.67592159,-4295.713856
CC(C)C(C)CCC,22.69743224,-4398.804076
CC(C)CC(C)CC,22.72255006,-4343.977836
CC(C)CCC(C)C,22.56357814,-4266.906491
CCC(C)(C)CCC,22.61752256,-4331.395281
CCC(C)C(C)CC,22.67616829,-4415.621171
CC(C)C(CC)CC,22.6394512,-4379.073156
CCC(C)(CC)CC,22.31234247,-4264.960777
CC(C)(C)C(C)CC,22.38897029,-4212.344093
CC(C)(C)CC(C)C,22.28775444,-4051.798539
CC(C)C(C)(C)CC,22.27996847,-4216.804486
CC(C)C(C)C(C)C,22.46931307,-4281.496971
CCCCCCCCC,22.97009315,-4899.313415
CC(C)(C)CCC(C)C,22.65717122,-4484.682635
CCC(C)(C)CC(C)CC,22.9768275,-4985.107086
CC(C)CC(C)(C)CC,22.63476033,-4542.094586
CCC(CC)(CC)CC,22.2358489,-4520.164029
CC(C)(C)C(C)(C)CC,22.0112031,-4356.529782
CC(C)(C)C(C)C(C)C,22.53166023,-4532.151109
CC(C)(C)CC(C)(C)C,22.14314504,-4234.335403
CC(C)C(C)(C)C(C)C,22.49216475,-4603.671784
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,27.60357566,-11188.05673
CCCCCCCCCC,23.08502045,-5221.920225
CC(C)(C)C(C)(C)CCC,22.42285768,-4762.234403
CC(C)(C)CCC(C)(C)C,22.33164407,-4465.59302
C1CC(C)C2CCCCC2C1,22.96941333,-5674.48504
C#CC(C)C,22.24898221,-3256.227979
CC#CC=C,21.9037343,-3455.365947
C#CCC=C,21.75233442,-3241.390426
C#CCCCCCCC,23.26002186,-5022.981965
C#CCCCCCCCC,23.38065312,-5349.372924
c1ccccc1,21.96194255,-3684.981356
c1ccccc1(C),22.46869102,-4245.173339
c1cccc2c1CCC2C,22.77441184,-5286.530623
c1ccccc1(CC),22.68548661,-4625.682897
c1(C)ccccc1(C),22.46304162,-4595.052873
c1(C)cc(C)ccc1,22.60796593,-4608.419105
c1(C)ccc(C)cc1,22.31153392,-4450.829652
c1cc(C)cc2c1CCC2,22.54873553,-5278.955209
c1(CCC)ccccc1,22.91233992,-4990.747406
c1(C(C)C)ccccc1,22.85086637,-4890.133561
c1(CC)c(C)cccc1,22.86173843,-5035.861019
c1(CC)cc(C)ccc1,22.96078423,-5026.95758
c1(CC)ccc(C)cc1,22.7790953,-4947.599646
c1(C)c(C)c(C)ccc1,22.74670902,-5077.831216
c1(C)c(C)cc(C)cc1,22.79279086,-5030.060188
c1(C)cc(C)cc(C)c1,22.89242934,-5018.177464
CC1=CC(=CC(=C1)C(C)C)C(C)C,23.49428339,-5953.233696
c1(CCCC)ccccc1,23.13418643,-5373.611635
c1(CC(C)C)ccccc1,22.79783337,-5069.919093
c1(C(C)CC)ccccc1,22.64522236,-5055.461089
c1(C(C)(C)C)ccccc1,22.46427908,-4910.861465
c1(C(C)C)c(C)cccc1,22.81445871,-5148.947477
c1(C(C)C)cc(C)ccc1,22.83705786,-5125.009219
c1(C(C)C)ccc(C)cc1,22.86406607,-5168.004216
c1(CC)c(CC)cccc1,22.67120705,-5149.489399
c1(CC)cc(CC)ccc1,22.98007923,-5286.064021
c1(CC)ccc(CC)cc1,22.90867346,-5253.628887
c1(C)c(C)c(C)c(C)cc1,22.92922589,-5502.341418
c1(C)c(C)c(C)cc(C)c1,23.02001215,-5467.902623
c1(CC)ccc(C(C)(C)C)cc1,23.0368441,-5648.990091
c1(O)c(C)c2CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)Oc2c(C)c1(C),26.87439792,-12194.78075
c1(C(C)C)cc(C(C)C)cc(C(C)C)c1,23.52692265,-6216.577507
CC1CCC2=C1C=C(C=C2)C,22.66650899,-5469.86946
CC1=CC2=C(C=C1)C(CC2)(C)C,22.53946363,-5466.812237
c1(C(C)C)cc(C(C)C)ccc1,23.43419558,-5743.050209
c1(C(C)C)ccc(C(C)C)cc1,23.09563884,-5647.563971
c1(CC)c(CC)cc(CC)cc1,23.72544871,-6078.784902
c1(CC)c(CC)c(CC)ccc1,23.72333323,-6073.601282
c1(CCCCCCC)ccccc1,23.71899203,-6401.064538
c1(CC)c(CC)c(CC)cc(CC)c1,24.18606129,-6714.084027
c1(CCCCCCCCCC)ccccc1,24.34337012,-7399.555716
c1(CC)c(CC)c(CC)c(CC)c(CC)c1,25.04158042,-7550.59395
c1ccccc1(C2CCCCC2),22.67402015,-5772.043929
c1ccccc1C(C)c2ccccc2,23.3752013,-6556.864004
C=C(c1ccccc1)CC(C)(c2ccccc2)C,23.51475763,-7435.756017
CCOCCOCC,23.34191013,-4705.519426
C1C=COC1,22.43726267,-3599.188121
c1(CC)c(C(C)C)cccc1,23.04740076,-5429.714781
