smiles,temperature,lnA,vapor_pressure,splits,vapor_pressure_unnormed,temperature_unnormed,lnA_unnormed,,mean,8.580092891
CC/C=C/CCC,0.162263795,1.95521427491107,0.269465588,train,10.53454996,0.002956306,22.76143006,,,
CC/C=C/CCC,-0.383922248,1.95521427491107,0.639027469,train,13.21501404,0.00227723,22.76143006,,,
CC/C=C/CCC,-0.72605704,1.95521427491107,0.866924968,train,14.86797419,0.001851852,22.76143006,,,
C=C(C)CCCC,2.507925801,1.91292239632377,-1.57805124,train,-2.865648375,0.00587268,22.45468343,,,
C=C(C)CCCC,0.851902133,1.91292239632377,-0.217785334,train,7.00047715,0.003813737,22.45468343,,,
C=C(C)CCCC,0.055641551,1.91292239632377,0.359687369,train,11.18893629,0.002823742,22.45468343,,,
C=C(C)CCCC,-0.412418064,1.91292239632377,0.669649494,train,13.43711822,0.002241801,22.45468343,,,
C=C(C)CCCC,-0.720520186,1.91292239632377,0.867189419,train,14.86989227,0.001858736,22.45468343,,,
C=CC(CC)CC,3.305920471,1.93502130447181,-2.160144893,train,-7.087623664,0.006864831,22.61496871,,,
C=CC(CC)CC,1.111472329,1.93502130447181,-0.367893843,train,5.911727229,0.004136462,22.61496871,,,
C=CC(CC)CC,0.165255015,1.93502130447181,0.319128501,train,10.89475933,0.002960025,22.61496871,,,
C=CC(CC)CC,-0.361919607,1.93502130447181,0.662350801,train,13.38418017,0.002304586,22.61496871,,,
C=CC(CC)CC,-0.69795453,1.93502130447181,0.874668568,train,14.92413918,0.001886792,22.61496871,,,
C=CC(C)CCC,3.331433915,1.94109923328151,-2.290890492,train,-8.035932725,0.006896552,22.65905245,,,
C=CC(C)CCC,1.125325725,1.94109923328151,-0.382458206,train,5.806090655,0.004153686,22.65905245,,,
C=CC(C)CCC,0.1747,1.94109923328151,0.313959549,train,10.85726848,0.002971768,22.65905245,,,
C=CC(C)CCC,-0.354769311,1.94109923328151,0.658031677,train,13.3528532,0.002313476,22.65905245,,,
C=CC(C)CCC,-0.692206143,1.94109923328151,0.87094231,train,14.89711232,0.001893939,22.65905245,,,
C=CC(CC)CCC,2.303067027,1.93922849438356,-1.60701342,train,-3.075713554,0.005617978,22.64548382,,,
C=CC(CC)CCC,0.741769891,1.93922849438356,-0.257177623,train,6.71476149,0.003676809,22.64548382,,,
C=CC(CC)CCC,-0.017653399,1.93922849438356,0.332494656,train,10.9917052,0.002732614,22.64548382,,,
C=CC(CC)CCC,-0.466735375,1.93922849438356,0.649231142,train,13.28902216,0.002174268,22.64548382,,,
C=CC(CC)CCC,-0.763434827,1.93922849438356,0.853764596,train,14.77252088,0.00180538,22.64548382,,,
C=CCC(C)CCC,2.594936611,1.9475272696207,-1.894341932,train,-5.159731941,0.005980861,22.70567555,,,
C=CCC(C)CCC,0.822760457,1.9475272696207,-0.337333808,train,6.133381788,0.003777505,22.70567555,,,
C=CCC(C)CCC,0.004794828,1.9475272696207,0.306375528,train,10.80226093,0.002760524,22.70567555,,,
C=CCC(C)CCC,-0.466165121,1.9475272696207,0.641652151,train,13.23405109,0.002174977,22.70567555,,,
C=CCC(C)CCC,-0.772293471,1.9475272696207,0.85385987,train,14.77321191,0.001794366,22.70567555,,,
C/C=CCCCCCC,1.917617048,1.98107545338404,-1.677893803,train,-3.589815065,0.005138746,22.94900341,,,
C/C=CCCCCCC,0.506567805,1.98107545338404,-0.311735516,train,6.319048404,0.003384381,22.94900341,,,
C/C=CCCCCCC,-0.18622905,1.98107545338404,0.297266978,train,10.73619583,0.002523023,22.94900341,,,
C/C=CCCCCCC,-0.597922783,1.98107545338404,0.628556827,train,13.13906958,0.002011162,22.94900341,,,
C/C=CCCCCCC,-0.870744753,1.98107545338404,0.840792911,train,14.67843613,0.001671961,22.94900341,,,
C/C=C/CCCCCC,1.917617048,1.98635852466042,-1.677311157,train,-3.585589079,0.005138746,22.98732198,,,
C/C=C/CCCCCC,0.508872951,1.98635852466042,-0.313491732,train,6.306310418,0.003387247,22.98732198,,,
C/C=C/CCCCCC,-0.183666526,1.98635852466042,0.297383263,train,10.73703926,0.002526209,22.98732198,,,
C/C=C/CCCCCC,-0.595479297,1.98635852466042,0.630107589,train,13.15031739,0.0020142,22.98732198,,,
C/C=C/CCCCCC,-0.868492691,1.98635852466042,0.840786088,train,14.67838664,0.001674761,22.98732198,,,
C=CC1CCCCC1,3.278764631,1.95715446286892,-2.736801445,train,-11.27016319,0.006831068,22.77550241,,,
C=CC1CCCCC1,0.882234989,1.95715446286892,-0.486894543,train,5.048604928,0.00385145,22.77550241,,,
C=CC1CCCCC1,-0.058587834,1.95715446286892,0.293926705,train,10.71196854,0.00268172,22.77550241,,,
C=CC1CCCCC1,-0.561063775,1.95715446286892,0.664466698,train,13.39952696,0.002056989,22.77550241,,,
C=CC1CCCCC1,-0.873661173,1.95715446286892,0.88511176,train,14.99988455,0.001668335,22.77550241,,,
CCC1=CCCCC1,2.713141689,1.95311500018527,-2.37728742,train,-8.662577074,0.006127826,22.74620384,,,
CCC1=CCCCC1,0.697402671,1.95311500018527,-0.397228798,train,5.69895828,0.003621647,22.74620384,,,
CCC1=CCCCC1,-0.148125778,1.95311500018527,0.323421335,train,10.92589563,0.002570397,22.74620384,,,
CCC1=CCCCC1,-0.61322152,1.95311500018527,0.670916136,train,13.44630529,0.001992141,22.74620384,,,
CCC1=CCCCC1,-0.907485528,1.95311500018527,0.886598168,train,15.0106656,0.001626281,22.74620384,,,
C=C(C)C(C)(C)C,2.709822311,1.86420843334662,-1.521098335,train,-2.452564056,0.006123699,22.10135687,,,
C=C(C)C(C)(C)C,0.935850943,1.86420843334662,-0.17282387,train,7.326586511,0.003918111,22.10135687,,,
C=C(C)C(C)(C)C,0.101372073,1.86420843334662,0.390577539,train,11.41298535,0.002880599,22.10135687,,,
C=C(C)C(C)(C)C,-0.38369302,1.86420843334662,0.686270851,train,13.55767435,0.002277515,22.10135687,,,
C=C(C)C(C)(C)C,-0.700812235,1.86420843334662,0.879562847,train,14.95963781,0.001883239,22.10135687,,,
CC/C=CCCC,3.676416761,1.94022869761554,-2.784156796,train,-11.61363562,0.007325471,22.65273838,,,
CC/C=CCCC,1.154970897,1.94022869761554,-0.483912283,train,5.070235516,0.004190544,22.65273838,,,
CC/C=CCCC,0.144853751,1.94022869761554,0.28202633,train,10.6256541,0.00293466,22.65273838,,,
CC/C=CCCC,-0.399420452,1.94022869761554,0.646592602,train,13.2698846,0.002257961,22.65273838,,,
CC/C=CCCC,-0.739722227,1.94022869761554,0.865672783,train,14.85889199,0.001834862,22.65273838,,,
C=CCCCCCC,2.475692367,1.9751170488716,-1.984954089,train,-5.816949705,0.005832604,22.90578659,,,
C=CCCCCCC,0.759957701,1.9751170488716,-0.355572496,train,6.001095016,0.003699422,22.90578659,,,
C=CCCCCCC,-0.036853832,1.9751170488716,0.300957592,train,10.76296417,0.002708742,22.90578659,,,
C=CCCCCCC,-0.497047318,1.9751170488716,0.636160871,train,13.19422236,0.002136581,22.90578659,,,
C=CCCCCCC,-0.796733164,1.9751170488716,0.85687471,train,14.7950788,0.00176398,22.90578659,,,
C/C=C/CCCCC,2.121543631,1.93920964585466,-1.551470715,train,-2.672857539,0.005392289,22.64534711,,,
C/C=C/CCCCC,0.636765111,1.93920964585466,-0.252143515,train,6.751274307,0.003546256,22.64534711,,,
C/C=C/CCCCC,-0.090669254,1.93920964585466,0.32743205,train,10.95498569,0.002641833,22.64534711,,,
C/C=C/CCCCC,-0.52245942,1.93920964585466,0.644851708,train,13.25725775,0.002104986,22.64534711,,,
C/C=C/CCCCC,-0.808399647,1.93920964585466,0.85304204,train,14.76728012,0.001749475,22.64534711,,,
CC1CCCCC=1,3.051035367,1.92493358862298,-2.367128309,train,-8.58889217,0.006547931,22.54180164,,,
CC1CCCCC=1,0.859465843,1.92493358862298,-0.349091165,train,6.048104671,0.003823141,22.54180164,,,
CC1CCCCC=1,-0.044117535,1.92493358862298,0.35365549,train,11.14518655,0.002699711,22.54180164,,,
CC1CCCCC=1,-0.537269941,1.92493358862298,0.692028297,train,13.5994336,0.002086572,22.54180164,,,
CC1CCCCC=1,-0.847878286,1.92493358862298,0.904231117,train,15.1385589,0.001700391,22.54180164,,,
