smiles,lnA,EaR,Viscosity,temperature,splits,Viscosity_unnormed,lnA_unnormed,EaR_unnormed,,,,mean,0.001687455,,,,,,
CCCCCCc1cc2CCCCc2cc1CCCC,-8.289180091,3.22796354,2.647493159,0.003411223,train,3.374511116,-10.55846929,4.112324811,,,,,,,,,,,
CCCCCCc1cc2CCCCc2cc1CCCC,-8.289180091,3.22796354,0.717916547,0.002687811,train,0.916290732,-10.55846929,4.112324811,,,,,,,,,,,
CCCCCCc1cc2CCCCc2cc1CCCC,-8.289180091,3.22796354,2.029937151,0.003215951,train,2.587764035,-10.55846929,4.112324811,,,,,,,,,,,
CCCCCCc1cc2CCCCc2cc1CCCC,-8.289180091,3.22796354,3.548473465,0.003660992,train,4.522331908,-10.55846929,4.112324811,,,,,,,,,,,
CCCCCCc1cc2CCCCc2cc1CCCC,-8.289180091,3.22796354,1.441790855,0.003001651,train,1.838484009,-10.55846929,4.112324811,,,,,,,,,,,
CCCCCCC1CCCc2ccc(CCCC)cc12,-7.819964232,3.013375467,0.602443652,0.002687811,train,0.769181867,-9.960702929,3.838946303,,,,,,,,,,,
CCCCCCC1CCCc2ccc(CCCC)cc12,-7.819964232,3.013375467,2.381334774,0.003411223,train,3.03543364,-9.960702929,3.838946303,,,,,,,,,,,
CCCCCCC1CCCc2ccc(CCCC)cc12,-7.819964232,3.013375467,1.812340948,0.003215951,train,2.310553263,-9.960702929,3.838946303,,,,,,,,,,,
CCCCCCC1CCCc2ccc(CCCC)cc12,-7.819964232,3.013375467,1.264665744,0.003001651,train,1.612832146,-9.960702929,3.838946303,,,,,,,,,,,
CCCCCCC1CCCc2ccc(CCCC)cc12,-7.819964232,3.013375467,3.231013888,0.003660992,train,4.117898315,-9.960702929,3.838946303,,,,,,,,,,,
BrC=CBr,-2.625475467,0.760342763,-0.621165559,0.002639428,train,-0.789658081,-3.343086353,0.968652951,,,,,,,,,,,
BrC=CBr,-2.625475467,0.760342763,-0.257005978,0.00311575,train,-0.32573014,-3.343086353,0.968652951,,,,,,,,,,,
BrC=CBr,-2.625475467,0.760342763,-0.449474906,0.002858204,train,-0.570929548,-3.343086353,0.968652951,,,,,,,,,,,
BrC=CBr,-2.625475467,0.760342763,-0.572561969,0.002700878,train,-0.727738625,-3.343086353,0.968652951,,,,,,,,,,,
BrC=CBr,-2.625475467,0.760342763,-0.507111693,0.00278474,train,-0.644357016,-3.343086353,0.968652951,,,,,,,,,,,
CC(C)(Br)CBr,-3.218181622,1.107356065,-0.554726939,0.002406218,train,-0.705017353,-4.098175498,1.410737069,,,,,,,,,,,
CC(C)(Br)CBr,-3.218181622,1.107356065,-0.411772772,0.002532351,train,-0.522898205,-4.098175498,1.410737069,,,,,,,,,,,
CC(C)(Br)CBr,-3.218181622,1.107356065,0.703914511,0.003486507,train,0.898452574,-4.098175498,1.410737069,,,,,,,,,,,
CC(C)(Br)CBr,-3.218181622,1.107356065,-0.194845891,0.00272643,train,-0.246540129,-4.098175498,1.410737069,,,,,,,,,,,
CC(C)(Br)CBr,-3.218181622,1.107356065,-0.08141501,0.002826855,train,-0.102032726,-4.098175498,1.410737069,,,,,,,,,,,
Clc1ccccc1Cl,-2.958583688,0.937736449,-0.5732123,0.002543558,train,-0.728567126,-3.767455831,1.194646971,,,,,,,,,,,
Clc1ccccc1Cl,-2.958583688,0.937736449,-0.808299304,0.002292264,train,-1.028060633,-3.767455831,1.194646971,,,,,,,,,,,
Clc1ccccc1Cl,-2.958583688,0.937736449,-0.713532743,0.00239607,train,-0.907330991,-3.767455831,1.194646971,,,,,,,,,,,
