,true_1,pred_1
0,-1.9143368,-1.4142596
1,-0.005517567,-0.17226043
2,1.4534302,0.539237
3,0.17341492,0.35896295
4,-1.581556,-0.92962193
5,0.25208735,0.10757307
6,0.49411356,0.39296997
7,-0.48038125,-0.44870427
