original_smiles,augmented_smiles
COc1ccccc1Nc1nc2c(-c3ccc(C(F)(F)F)cc3)cccn2n1,ccc(cc)-c1cccn2nc(Nc3ccccc3OC)nc12
COc1ccccc1Nc1nc2c(-c3ccccc3)cccn2n1,cc-c1cccn2nc(Nc3ccccc3OC)nc12
CNC(=O)c1cccc(-c2cccn3nc(Nc4ccccc4OC)nc23)c1,ccc(cc)-c1cccn2nc(Nc3ccccc3OC)nc12
CNC(=O)c1ccc(-c2cccn3nc(Nc4ccccc4OC)nc23)cc1,Oc1ccccc1Nc1nc2c(-c3ccccc3)cccn2n1
CS(=O)(=O)c1ccc(-c2ccc3nc(Nc4ccc(N5CCOCC5)cc4)nn3c2)cc1,CS(=O)(=O)c1ccc(-c2ccc3nc(Nc4ccc(N)cc4)nn3c2)cc1
CS(=O)(=O)c1ccccc1Nc1nc2c(Nc3ccccc3S(C)(=O)=O)cccn2n1,ccc(Nc1nc2c(Nc3ccccc3S(C)=O)cccn2n1)c(c)S
c1ccc(-c2cccc3nc(Nc4ccc(OCCN5CCCC5)cc4)nn23)cc1,CCOc1ccc(Nc2nc3cccc(-c4ccccc4)n3n2)cc1
CN1CCN(c2nc3c(NCc4cccc([N+](=O)[O-])c4)cccn3n2)CC1,CN(C)c1nc2c(NCc3cccc(N=O)c3)cccn2n1
O=[N+]([O-])c1cccc(CNc2cccn3nc(N4CCOCC4)nc23)c1,CNc1nc2c(NCc3cccc(N(=O)O)c3)cccn2n1
NC1CCN(c2nc3c(NCc4cccnc4)cccn3n2)CC1,CN(C)c1nc2c(NCc3cccnc3)cccn2n1
c1cncc(CNc2cccn3nc(NCCN4CCOCC4)nc23)c1,ccCNc1cccn2nc(NCCN3CCOCC3)nc12
CN1CCN(c2cccc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cc(C(F)(F)F)cn4n3)c2)CC1,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)cn3nc(Nc4cccc(N)c4)nc23)cc1
CN1CCN(c2ccc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cc(C(F)(F)F)cn4n3)cc2)CC1,ccc(cc)-c1cc(C(F)(F)F)cn2nc(Nc3ccc(N4CCNCC4)cc3)nc12
c1ccc2c(c1)CCCN2c1nc2cccc(N3CCCc4ccccc43)n2n1,ccN(CC)c1cccc2nc(N3CCCc4ccccc43)nn12
COCc1ccccc1-c1cccc2nc(Nc3ccc4c(c3)CCNCC4)nn12,COCc1ccccc1-c1cccc2nc(Nc3ccccc3)nn12
COc1ccc(C(F)(F)F)cc1-c1cccn2nc(Nc3cccc(C4CCN(C(=O)OC(C)(C)C)CC4)c3)nc12,ccc(cO)-c1cccn2nc(Nc3cccc(C4CCN(C(=O)OC(C)(C)C)CC4)c3)nc12
CC(=O)Nc1ccc(Sc2cccn3nc(Nc4ccc(C5CCN(C(=O)OC(C)(C)C)CC5)cc4)nc23)cc1,cc(c)Sc1cccn2nc(Nc3ccc(C4CCN(C(=O)OC(C)(C)C)CC4)cc3)nc12
COc1ccc(CNc2cccn3nc(Nc4cccc(N5CCN(C)CC5)c4)nc23)cc1,ccc(cc)CNc1cccn2nc(Nc3cccc(N(CC)CC)c3)nc12
COc1cccc(CNc2cccn3nc(Nc4ccc(OC)nc4)nc23)c1,cc(c)Nc1nc2c(NCc3cccc(OC)c3)cccn2n1
CS(=O)(=O)c1ccc(-c2cccn3nc(NCCc4ccccn4)nc23)cc1,ccc(cc)-c1cccn2nc(NCCc3ccccn3)nc12
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1ccc(OCCNc2ccnc(F)c2)cc1,CNCCOc1ccc(NC2=C(c3cnc4ccccc34)C(=O)NC2=O)cc1
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCN(C)CC4)c-3n2)cc1,CC(C)CNc1c(Cl)cnc2nc(-c3ccc(O)cc3)nc12
COc1cccc(NC(=O)c2cnc(N3CCN(c4ccccc4OC)CC3)c([N+](=O)[O-])c2)c1,cc(c)N1CCN(c2ncc(C(=O)Nc3cccc(O)c3)cc2N(=O)O)CC1
O=c1[nH]c(CSc2nnc(NCC3CCCO3)s2)nc2sc(-c3ccccc3)cc12,Cc1cc2c(=O)nc(CSc3nnc(NCC4CCCO4)s3)nc2s1
COc1cccc(NC(=O)c2cnc(Nc3cccc(OC)c3)c([N+](=O)[O-])c2)c1,cc(c)NC(=O)c1cnc(Nc2cccc(OC)c2)c(N(=O)O)c1
CC(=O)Nc1ccc(-c2ccnc(NCCCNC(=O)c3c(Cl)cccc3Cl)n2)cc1,cc(c)C(=O)NCCCNc1nccc(-c2ccc(NC(C)=O)cc2)n1
c1ccc2c(c1)CCCC2Nc1ccnc(-n2cnc3ccncc32)n1,cc(c)C(CC)Nc1ccnc(-n2cnc3ccncc32)n1
CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)CC2CC2)C1,CN(c1ncnc2nccc12)C1CC(N[SH](=O)=O)C1
O=C(O)Cc1cnc(Nc2[nH]nc3ccc(-c4ncccc4Cl)cc23)s1,ccc(nc)-c1ccc2nnc(Nc3ncc(CC)s3)c2c1
CC1CC(C)CN(c2ccc(Nc3ncc(C(F)(F)F)c(-c4cc5ccc(C#N)cc5o4)n3)cc2)C1,CNc1ccc(Nc2ncc(C(F)(F)F)c(-c3cc4ccc(C#N)cc4o3)n2)cc1
O=c1[nH]c2cnc(-n3cnc4ccccc43)nc2n1C1CCOc2c(F)cccc21,cn(cn)-c1ncc2nc(=O)n(C3CCOc4c(F)cccc43)c2n1
Nc1ncc(-c2cnn(CC(=O)N3CCOCC3)c2)c2scc(-c3ccc(Oc4ccccc4)cc3)c12,Nc1ncc(-c2cnn(CC(=O)N3CCOCC3)c2)c2scc(-c3ccc(O)cc3)c12
Cc1ccccc1S(=O)(=O)Nc1cnc(N2CCCCC2)c(C(=O)O)c1,CNc1ncc(NS(=O)(=O)c2ccccc2C)cc1C(=O)O
Fc1cccc(C2CCCN2c2ccc3ncc(-c4ccccn4)n3n2)c1,Cc1cnc2ccc(N3CCCC3c3cccc(F)c3)nn12
O=c1cc(-c2nc(C3CCNCC3)[nH]c2-c2ccc(F)cc2)cc[nH]1,ccc(cc)-c1nc(C(C)CC)nc1-c1ccc(F)cc1
O=C(Nc1nc2cccc(-c3ccc(CN4CCCCC4)cc3)n2n1)C1CC1,NCc1ccc(-c2cccc3nc(NC(=O)C4CC4)nn23)cc1
COc1ccc(C(F)(F)F)cc1-c1cccn2nc(Nc3ccc(C4CCN(C(=O)OC(C)(C)C)CC4)cc3)nc12,COC(=O)N1CCC(c2ccc(Nc3nc4c(-c5cc(C)ccc5O)cccn4n3)cc2)CC1
CN1CCN(c2cncc(Nc3nc4c(NCc5ccccc5N(C)S(C)(=O)=O)cccn4n3)n2)CC1,ccc(CNc1cccn2nc(Nc3cncc(N4CCN(C)CC4)n3)nc12)c(c)N
CS(=O)(=O)c1ccc(-c2cccn3nc(NCc4ccccn4)nc23)cc1,ccc(cc)-c1cccn2nc(NCc3ccccn3)nc12
CC(=O)Nc1ccc(-c2nc(Nc3ccc(N4CCOCC4)cc3)ncc2F)cc1,ccc(cc)-c1nc(Nc2ccc(N3CCOCC3)cc2)ncc1F
O=C1NN(c2ccccc2)C(=O)C1=Cc1ccc(-c2ccccc2Cl)o1,ccN1NC(=O)C(=Cc2ccc(-c3ccccc3Cl)o2)C1=O
Cc1nc2cnc3[nH]ccc3c2n1C1CCCCC1,Cc1nc2cnc3nccc3c2n1C(C)C
CC(C)c1ccc(-c2nc3cc(C(N)=O)ccc3n2CCN)cc1,CCn1c(-c2ccc(C(C)C)cc2)nc2ccccc21
c1cc2c(ncc3ncn(C4CCCCC4)c32)[nH]1,CC(C)n1cnc2cnc3nccc3c21
Oc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)c(Cl)c1,ccc(c(c)Cl)C1Nc2ccccc2-c(cc)c(c)c1c
CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)c2cccc(C(C)(C)O)c2)C1,ccc(cc)S(=O)(=O)NC1CC(N(C)c2ncnc3nccc23)C1
OC1CCN(c2cc(-c3cnc4ccc(N5CCCC5c5cccc(F)c5)nn34)ccn2)CC1,Nc1cc(-c2cnc3ccc(N4CCCC4c4cccc(F)c4)nn23)ccn1
CN1CCN(Cc2ccc(-c3cccc4nc(NC(=O)C5CC5)nn34)cc2)CC1,CN1CCN(Cc2ccc(-c3cccc4nc(N)nn34)cc2)CC1
Oc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)cc1Br,ccc1c(c)-cc2cncc2C(c2ccc(O)c(Br)c2)N1
CN(C)c1cccc(Nc2nc(N)n(C(=O)c3c(F)cccc3F)n2)c1,ccc(cc)Nc1nc(N)n(C(=O)c2c(F)cccc2F)n1
COc1ccc(-c2nc3[nH]cc(Br)c(NCC4CCN(C)CC4)c-3n2)cc1,cc(c)-c1nc2ncc(Br)c(NCC3CCN(C)CC3)c2n1
NCCn1c(-c2ccc(C(F)(F)F)cc2)nc2cc(C(N)=O)ccc21,ccc1c(c)nc(-c2ccc(C(F)(F)F)cc2)n1CCN
NCCn1c(-c2cccnc2N)nc2cc(C(N)=O)ccc21,ccc1c(c)nc(-c2cccnc2N)n1CCN
N#Cc1ccc(-c2cnc3ccc(NCc4ccccc4)nn23)cc1,ccCNc1ccc2ncc(-c3ccc(C#N)cc3)n2n1
CN(C(=O)NC1CCCN(S(C)(=O)=O)C1)c1cnc2[nH]ccc2n1,cnc(cn)N(C)C(=O)NC1CCCN(S(C)(=O)=O)C1
CCOP(=O)(CCn1cc(-c2ccc(-c3nc(-c4cc[nH]c(=O)c4)c(-c4ccc(F)cc4)[nH]3)cc2)nn1)OCC,ccc(c)-c1nc(-c2ccc(-c3cn(CCP(=O)(OCC)OCC)nn3)cc2)nc1-c(c)c
NCCn1c(C2CCCCC2)nc2cc(C(N)=O)ccc21,CCc1nc2cc(C(N)=O)ccc2n1CCN
CNCCn1c(C2CCC(O)CC2)nc2cc(C(N)=O)ccc21,NCCn1c(C2CCC(O)CC2)nc2ccccc21
CC(C)N1CCC(S(=O)(=O)CC2CC(N(C)c3[nH]cnc4nccc3-4)C2)C1,cc1cncnc1N(C)C1CC(CS(=O)(=O)C2CCNC2)C1
O=C1NC(=O)C(c2cn(CCCn3ccnc3)c3ccccc23)=C1Nc1ccccc1,CNC1=C(c2cn(CCCn3ccnc3)c3ccccc23)C(=O)NC1=O
