,Train_loss
0,0.0018213094472885132
1,1.5467946766018867
2,1.4800558469891547
3,1.4409191665053367
4,1.3882405337691308
5,1.3138766005039215
6,1.2862244529128075
7,1.2559790280461312
8,1.2326947205662728
9,1.2067428298592568
10,1.190705722630024
11,1.1815230659246445
12,1.1736442269086838
13,1.165247460246086
14,1.1727695447206496
15,1.1565724697113038
16,1.122383006453514
17,1.1359655000567437
18,1.1229602056741714
19,1.1074208695292473
20,1.0986075305342675
21,1.1000956264138222
22,1.0985965334177017
23,1.071634664952755
24,1.0743496705293656
25,1.0599579706788063
26,1.0529216538667678
27,1.0579704288244247
28,1.0304126689136028
29,1.0275056515932084
30,1.0067006442546844
31,1.0054354270100594
32,0.9984448640346527
33,0.9870712350010872
34,0.9889355669319629
35,0.9892114489078522
36,0.9944404689669609
37,0.9966423798501491
38,0.9846298753023147
39,0.9715766318440437
40,0.9887932815849781
41,0.987585686981678
42,0.987719124853611
43,0.9851706092357635
44,0.9744250183105468
45,0.9752881389260292
46,0.9736276885867119
47,0.9730677038431168
48,0.9699832873940468
49,0.967674586981535
50,0.9638823434114456
51,0.9520752794146538
52,0.9408195824623108
53,0.948206752538681
54,0.9411480404138565
55,0.9481118434667587
56,0.9407454508543015
57,0.933207905381918
58,0.9445954039096832
59,0.9339569901823997
60,0.9300185004770756
61,0.931971233278513
62,0.9416820070743561
63,0.9287533615231514
64,0.921766787469387
65,0.9327321909070015
66,0.9263344114422798
67,0.9231692723631859
68,0.9206833274364471
69,0.9207799935638905
70,0.929327205657959
71,0.9201196554899216
72,0.9218068830966949
73,0.9161410223245621
74,0.921650930762291
75,0.9097860648334026
76,0.9256859425902366
77,0.9265298494696617
78,0.9246519820690156
79,0.91645982837677
80,0.9192020619213581
81,0.9236559378504753
82,0.8973119930624962
83,0.8996664578914643
84,0.9044926896095276
85,0.9066302232146263
86,0.9089113952517509
87,0.906302611142397
88,0.8897296130657196
89,0.8902724967598915
90,0.8990291737616062
91,0.9151321701407432
92,0.9128834793567657
93,0.8850972268581391
94,0.8940816275477409
95,0.8891276291608811
96,0.9031616567373276
97,0.8925643398761749
98,0.8904428036510944
99,0.8879050788879395
100,0.8936903939247132
