,true_3,pred_3,true_9,pred_9,true_10,pred_10
0,0.7719641,0.8016558,-0.10177182,-0.08742891,-0.4295029,0.14688766
1,0.095318735,0.5091889,0.4814931,0.55281967,-0.5624622,-0.7049791
2,1.3088675,0.7220413,0.4430612,0.4912884,0.21313378,-0.32727408
3,-0.5960363,-0.043492153,-0.16754763,0.36615217,0.8491225,0.025125727
4,-0.40481043,0.31475082,0.45167327,-0.213972,-0.4538788,-0.22079301
5,-1.6992624,-0.3273926,0.52445626,0.2733829,0.032530714,-0.13342708
6,0.30860913,0.2996249,0.1392447,-0.21261723,-0.12702046,-0.82782125
7,-0.471004,0.09587268,0.77729243,-0.30497423,-0.9425043,-0.5668177
8,-1.34623,0.37156954,-2.5158174,-0.69389814,-0.9037245,-0.29230878
9,-0.55190724,-0.21173437,0.4814931,0.38681352,-1.201775,-0.5438029
