,true_0,pred_0,true_8,pred_8
0,-0.63338965,0.045021355,1.6886245,0.0018566984
1,-1.0891441,0.00087871496,1.9032739,0.053545684
2,1.9450961,-0.011695303,1.1734657,0.0027368588
3,0.85090476,0.069792196,-1.4070979,0.035602372
4,0.025028141,-0.051831108,0.3339478,-0.012485253
5,0.98411065,-0.07397046,0.7203169,0.06778138
6,1.7262579,0.036729038,0.51520735,-0.050833955
7,-0.8712573,0.022279223,0.9349663,-0.07786695
8,-0.12530424,0.12438943,0.1336083,-0.09747916
9,0.47031647,-0.020798652,-0.06196122,0.034509085
10,1.4217873,-0.033678427,0.663077,0.048401415
11,0.6016194,-0.025643026,-1.5263476,-0.0027569162
12,-0.06250717,-0.06449008,-0.8776292,-0.01581785
13,-0.5077955,-0.024045272,-0.6009699,0.18490234
14,-0.719022,-0.079644725,1.0160562,0.13231008
15,-1.8132133,0.084151044,-0.78699946,-0.018397689
16,1.4693607,-0.014119556,-0.047651254,-0.102674834
17,-0.4782999,0.002411751,-2.2990856,-0.005627134
18,0.0040957844,-0.05653493,0.9969762,-0.10063501
19,2.2952373,0.03734359,-1.6885272,0.010533445
20,-0.014933631,0.034824565,0.15268825,-0.008125781
21,-0.26231602,-0.09282144,-0.11443109,0.15358844
22,1.2505225,-0.076118104,0.3339478,0.026480272
23,-1.1167368,-0.043614008,1.3499553,0.35339394
24,-0.37649253,-0.12588906,0.36686072,0.152077
25,-1.432625,0.10721064,0.22423808,0.014588773
26,-0.26231602,-0.029238869,-0.25848472,0.049272083
27,1.3742137,0.15406883,0.019128583,0.009928176
28,-0.42406607,-0.039927542,-0.24799076,0.070203
29,-0.014933631,-0.080119975,-1.0445788,-0.023355015
30,-0.40503666,-0.0572324,-0.8742902,0.058668464
31,-1.1167368,-0.0060060346,-0.81037235,0.07497147
32,1.8594638,0.09393153,-0.076271184,-0.04147534
33,0.4132282,-0.040817484,-0.5485,0.22955656
34,0.35613996,-0.024852736,1.0303661,0.0070275143
35,-0.6352926,0.056540813,1.1209959,-0.08509307
36,1.0031401,0.06660743,1.5932248,-0.030727752
37,-0.9854338,-0.020318786,0.75370675,-0.024363749
38,-1.274681,-0.010137327,-0.71544963,-0.050304625
39,-0.3346278,-0.023877254,-2.3625267,0.13915096
40,1.041199,-0.037174765,0.8691405,0.18921383
41,-1.6105502,-0.054210946,-0.8394693,-0.014382274
42,0.33806202,0.13214087,-0.01950832,0.23828451
43,-0.17668366,-0.11846498,1.1367369,-0.053166892
44,0.4037135,-0.07256562,-0.104891114,0.11068421
45,0.57497823,-0.09209136,0.8347966,-0.04288073
46,0.35423702,-0.09583872,1.9891337,-0.018579371
47,0.584493,-0.021360481,-0.6248198,0.16087238
48,-0.46212488,-0.064910755,-2.3610957,0.053543177
49,0.36565468,-0.090764835,0.9397363,-0.07729971
