,true_0,pred_0,true_2,pred_2
0,0.318049,0.39343017,-0.43166912,-1.4524317
1,-0.62255496,-0.25260162,1.0215176,-0.6463268
2,0.24917547,-2.3934157,-1.4638857,-0.35448843
3,-0.484418,-0.14349714,0.49411356,-1.4458166
4,-1.49629,-1.0538138,0.6544925,-1.0465723
5,0.57343185,-0.33520642,0.55677235,-0.31884977
6,-0.6600197,-0.18134694,0.17341492,-1.3964614
7,-0.20763524,0.34594688,-1.2681456,-0.52657723
8,0.029368978,0.34748456,0.79164076,-0.59355474
9,-0.0017055614,0.4098935,0.2348816,-0.8665758
10,-0.22634332,0.20990314,-0.82539445,-0.57414055
11,2.3316994,-0.74292964,0.4578567,-1.1238189
12,-1.2723148,-0.7957222,0.97341424,-0.21973594
13,1.5719233,-0.8243777,-1.6496618,-0.6422004
14,0.51374006,0.13239752,-0.005517567,-0.49044442
15,0.55938894,-1.6289643,0.07144085,0.23277874
16,-3.0185869,-0.2625326,-0.121878944,-1.2177672
17,-0.015347066,0.13056135,-1.3677254,-0.16113889
18,-1.706457,-1.3514574,0.14058696,-0.967259
19,0.60387856,-0.017714253,0.5284669,-0.3716731
20,-0.17073962,-0.24928261,-0.48038125,-0.48042017
21,0.73577833,-0.020221418,-1.581556,-0.6797642
22,2.0296395,-2.054399,0.7600801,-0.1354623
23,0.035425875,0.25407138,1.3939469,-0.8483753
24,-0.56881213,0.030771753,-1.9143368,-0.66392994
25,1.6596574,-0.591207,0.5933886,-1.388894
26,0.50719815,-1.5328038,-0.846211,-0.6459415
27,-1.3252093,0.38524076,1.0207781,-0.6463268
28,0.43711776,-0.5245387,-2.0341609,0.6428267
29,-0.05370098,-0.07809001,-0.32377967,-0.7155386
30,-0.43319306,-0.14200328,-0.6704265,-0.9637769
31,-0.16337112,-0.0011558924,1.4534302,-0.7481074
32,0.04621165,0.024361473,1.3375297,-1.334477
33,-0.6713046,0.48317093,-0.7258523,-0.99113595
34,0.10496243,0.22704738,1.0538851,-1.0401131
35,1.0331063,-0.92618036,0.28044784,-0.3924211
36,-0.26522782,0.75832903,-0.47249097,-0.921449
37,0.38249373,0.41136697,1.1284902,-0.6908703
38,0.15386772,-0.2716772,1.3142871,-1.334477
39,-0.36458698,-0.1314742,-1.8969557,-0.66392994
