,true_0,pred_0,true_4,pred_4,true_13,pred_13
0,2.0296395,1.6610074,-0.08367761,0.14406665,-0.70334494,-1.1371834
1,0.50719815,-0.46685064,0.32253352,-0.015068244,-0.38831782,0.085690334
2,-2.153576,-1.7316306,-0.19933495,-0.16414966,0.41057023,-0.26900154
3,0.60387856,0.063859224,-2.178674,-1.1125823,-0.8068446,0.13649799
4,-0.17073962,0.6493428,0.9008202,1.0943174,-0.59984523,-0.31296533
5,-0.05370098,-0.12963122,2.0667965,0.88512266,2.1901176,1.2353452
6,1.0331063,1.06882,0.7828121,0.3429149,0.6550882,-0.21147887
7,-3.0185869,-1.288285,0.7127595,0.35704282,-0.69752306,-0.74357224
8,-0.16337112,-0.16316703,0.5952215,0.51780486,0.54447293,0.69569266
9,0.10496243,0.23804644,-1.8777767,-1.6406088,0.86661565,0.2786973
