,true_7,pred_7,true_8,pred_8
0,1.052681,0.26651067,-1.8888668,0.53425664
1,-0.5309574,-0.625362,-1.1123127,0.7749053
2,-0.20648246,-0.04812061,0.37067673,-1.5832292
3,-1.432378,0.030170687,1.2593255,0.2543661
4,-0.3071973,-0.18306616,0.40072766,0.42882884
5,0.5522968,-0.76304674,0.5490743,-0.090084344
6,1.0020957,-0.5956128,-0.65820974,0.07530883
7,-0.15772003,-0.5972151,0.9349663,-0.18147482
8,-0.45075005,-0.2853623,0.39595765,-0.24601819
9,0.32808098,0.12916076,-0.49173716,-0.19144432
10,-0.2169641,0.2798809,0.6964669,-0.24010302
11,-0.18962061,-0.27789617,1.063756,-0.06695844
12,0.57827306,1.5882015,-1.4118679,0.52446383
13,0.89089924,-0.19061983,1.0589861,0.52942634
14,0.041431047,-0.40096337,-1.0588888,0.5990932
15,-0.23519303,-0.9346314,-1.8173169,0.1315087
16,1.1000762,-0.94014746,0.57244724,-0.069418296
17,1.7180369,-1.4369191,1.2116257,-0.5536792
18,-1.1612226,-0.33879554,0.41026762,-0.46561104
19,1.7371774,-0.81919533,0.8157166,0.14657888
20,0.8239079,-0.6241699,0.9111164,-0.15750833
21,-2.1004682,-0.25505662,0.44795054,-0.23176117
22,0.6069836,-0.5360325,1.7043655,-0.9444115
23,1.4733136,-2.0264184,0.42934757,-1.0980548
24,0.6571132,-1.0668702,1.7029345,-1.3080413
25,-0.78479534,-1.041158,0.9588163,-0.33616722
26,-1.005821,-0.74843305,-1.8840967,1.460929
27,-0.18232903,-0.5973084,-0.54373,-0.10963762
28,-1.0185814,-0.80094576,0.7441668,-0.3412702
29,0.6197439,0.40945834,-0.06673121,-0.14127827
30,-0.060195245,0.04106556,0.31486785,0.33805442
31,0.4032753,-0.89434296,0.21946809,0.7038837
32,0.3485885,-1.2814407,1.3165654,-0.4292735
33,0.028670749,-0.8010104,-2.6472948,0.6739509
34,0.7705882,-0.35550687,0.48658744,0.7417488
35,0.25789955,0.83279085,-0.40540037,0.7918103
36,0.6530117,-1.2080625,-0.08294917,0.08306526
37,1.7399117,1.5896466,1.5264449,-0.44603932
38,0.6908367,-0.118506186,-0.21460085,0.2878961
39,1.2322359,-1.1357133,-0.5961999,-0.020489082
40,0.9893355,-0.8676298,0.94927627,0.10686164
41,-2.398967,-0.4547914,-0.6295898,0.5956437
42,1.7025424,-1.7365932,-0.968259,0.75358194
43,0.20777008,-0.4474469,0.9874362,0.013336122
44,-2.0658333,1.1197072,-1.6503673,0.7180586
45,0.58328605,0.061155595,-0.75551754,-0.1749614
46,0.40600967,0.26794147,-0.30046064,0.31567478
47,-0.16637877,-0.36684433,0.8347966,-0.789889
48,0.73413044,-0.6893299,0.8157166,-0.10281639
49,0.74780214,-0.6777537,0.7870967,0.44340038
