,true_0,pred_0,true_1,pred_1,true_11,pred_11
0,-0.56881213,-0.6672964,-0.023575667,-0.2622101,0.17003275,-0.57186514
1,0.318049,-0.3493992,-1.1057128,0.079254195,-1.9370857,0.47598702
2,0.55938894,0.5302377,-2.361715,-1.3324981,1.223592,1.4299046
3,2.3316994,1.867642,0.15507635,0.35229713,0.74436885,0.6477344
4,0.15386772,-0.06976095,1.1708264,0.26099873,-0.02019322,0.29736552
5,2.0296395,1.256747,0.60784787,0.07948407,-1.2786112,-0.7803539
6,-0.16337112,-0.12669528,-0.10414683,-0.92100394,0.4297644,0.31144696
7,-0.6600197,0.0026192144,-0.6633681,-0.82058847,0.18832372,0.69037104
8,1.7872335,0.88237566,0.95481294,0.97433794,1.9076738,0.77644587
9,0.43711776,-0.59550756,1.0830332,1.2383771,1.0406824,0.00023021549
