,true_0,pred_0,true_1,pred_1
0,0.035425875,-0.62937903,0.01444011,-0.19287655
1,-0.20763524,-0.43525028,0.95481294,0.48238483
2,-1.706457,0.5547852,1.0830332,1.0497367
3,-0.85780954,-0.9469995,-0.31820366,-0.31576535
4,2.3316994,-0.33229727,0.15300858,-0.16815908
5,0.15386772,-0.7770418,0.02175847,-1.5211829
6,-0.36458698,-0.896039,-2.361715,-0.02497802
7,0.04621165,0.27770048,-1.7420748,0.43441936
8,2.0296395,-0.28109688,0.25191388,-0.46317685
9,-0.057480775,0.12742823,1.1079444,-0.45754504
10,0.24917547,-0.19638851,-0.110181816,-0.35039216
11,-0.22634332,-0.3751138,0.046772033,0.055989195
12,-0.56881213,-0.8425661,0.68448997,-1.5193535
13,1.1455094,0.59432036,0.5241718,-0.2720968
14,0.09738005,-0.36425975,0.77387863,-2.151717
15,0.51374006,-0.5786685,1.1453123,-1.2389024
16,-0.17073962,-0.76453024,0.15507635,-0.5694793
17,0.43711776,-1.0996944,0.42074862,0.1720257
18,1.6596574,-0.07244767,-0.6905402,0.19264156
19,-1.2723148,-1.2104335,-3.234912,-0.08033408
20,1.0331063,0.7950155,-0.5282844,-0.046361394
21,0.2558775,1.1043714,-0.023575667,-0.74086463
22,0.55938894,-1.2277247,0.14480256,-0.14874375
23,0.57343185,-0.17847499,-0.440524,-0.029345553
24,0.10496243,-0.033455107,-0.2945921,-2.427867
25,-0.05370098,-0.68350816,-0.19202769,-0.48161137
26,0.029368978,0.082191244,-1.1057128,-0.66552275
27,0.73577833,0.093169905,-0.62855273,-0.2668898
28,1.7872335,0.93946475,0.5434161,-0.47624686
29,-0.6713046,-0.13764219,-3.1493602,-0.3465763
30,0.38249373,-0.32507184,0.10959038,-0.014625959
31,-0.43319306,-0.95450526,-0.10414683,-0.03243855
32,-0.16337112,-0.77190506,0.13139524,0.06958996
33,-3.0185869,0.21417224,0.60784787,-0.42909402
34,-0.0017055614,-0.0027541872,0.9844146,0.9213818
35,-0.70081484,-1.5401441,-0.17123464,0.7739981
36,0.27432176,-0.5890912,-0.6633681,-0.8892243
37,-1.49629,-0.23452497,0.2370845,0.16749482
38,0.60387856,-0.09454286,1.0733114,-0.7015284
39,-0.484418,-0.9654126,-0.047968674,-0.6673909
