,true_5,pred_5,true_8,pred_8
0,-0.14206281,-0.06535076,0.0780331,-0.58547467
1,-0.6471586,-0.24481179,0.6723949,-0.22055605
2,0.70111257,-0.26508477,0.6869237,0.00748224
3,0.2628416,-0.18554156,0.71532094,0.47770262
4,-0.27716097,-0.23527513,-0.6404842,-0.93617713
5,-2.2657032,-0.20774256,0.79390883,-0.8358313
6,2.432098,-0.10260518,-0.43245763,-0.048868388
7,0.2968583,-0.20792563,-0.73624253,0.8386269
8,-1.6604288,-0.13194309,0.0793539,0.30297858
9,0.32711187,-0.053598836,-0.10093583,-0.36130464
