,true_0,pred_0,true_3,pred_3
0,0.029368978,0.6979957,0.33067364,-0.052104607
1,-0.36458698,0.5435783,-0.7431331,-0.9899719
2,0.061062813,0.6822956,0.07325421,-0.7171647
3,-0.05370098,-0.3013851,0.087963894,-0.5111726
4,0.10496243,0.59764606,-0.7725525,-0.21529275
5,0.09738005,-0.48314518,-0.147391,-0.5921665
6,0.035425875,0.54891545,0.095318735,0.1534107
7,0.27432176,-0.28612196,0.3380285,-0.7668523
8,-0.057480775,2.0192637,-1.3315203,-0.6208438
9,-0.62255496,1.1151353,0.30860913,-0.3412246
10,-0.6600197,0.21813728,-1.9787463,-0.10493781
11,-3.0185869,1.3829709,0.97054476,-0.3027513
12,2.0296395,0.83941495,0.5586737,-1.1904277
13,0.15386772,-0.17811388,-1.8757786,0.28898323
14,-0.16337112,0.22678559,0.9190609,-0.6224455
15,0.51374006,-0.36646777,-0.69900405,0.15559728
16,-0.484418,1.7129277,-0.06648776,-0.41020483
17,0.60387856,0.104781166,-0.40481043,-0.81280255
18,-1.49629,0.63147575,1.0808674,-0.1971689
19,-0.85780954,-0.96584636,-0.55190724,-0.020710472
20,0.43711776,-0.5167188,-0.471004,0.38283598
21,0.04621165,0.8668309,-0.16945553,-0.36075467
22,-0.20763524,0.5128546,-0.69900405,-0.26666462
23,0.318049,-0.4294843,1.3088675,-0.78284436
24,1.5719233,0.50843424,1.3162223,-0.3283955
25,0.2558775,0.28929603,-0.5960363,0.13941523
26,1.1455094,-0.42547128,-1.6992624,-0.10351527
27,1.7872335,1.1165423,0.74989957,-0.2837988
28,0.57343185,0.80877036,-2.4494562,0.02459494
29,-1.706457,0.7225978,-1.6404237,-1.2036412
30,0.73577833,-0.167958,0.7719641,-0.41848344
31,-0.70081484,0.54252005,-2.1111336,-0.13275377
32,-1.3252093,-0.07053025,1.1323513,-0.0382275
33,-2.153576,0.9586974,1.0220287,-0.40391517
34,2.3316994,1.4799664,0.8969964,-0.4927975
35,0.38249373,0.3971762,0.8455125,-0.31851357
36,-0.26522782,-0.13075653,0.13944778,0.14373887
37,0.55938894,0.23644651,-1.34623,-0.43233
38,-0.56881213,0.73604923,1.6030611,0.015437676
39,-0.015347066,-0.82619715,0.46306077,-0.42992187
